REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2012,07,2,12,068,04,1,134,03, ,2,    , 
12,2012,07,2,12,068,04,1,134,04, ,2,    , 
12,2012,07,2,12,068,05,1,135,03,1,1,8323,3
12,2012,07,2,12,068,08,1,138,04,1,1,5220,1
12,2012,07,2,12,069,05,1,145,04, ,1,7412,1
12,2012,07,2,12,069,06,1,146,04, ,2,    , 
12,2012,07,2,12,069,07,1,147,01,1,1,7412,1
12,2012,07,2,12,070,07,1,157,03,9,2,    , 
12,2012,07,2,12,071,06,1,166,05,1,2,    , 
12,2012,07,2,12,073,07,1,187,01,9,1,7231,1
12,2012,08,1,12,076,01,1,011,01, ,1,4121,1
12,2012,08,2,12,077,01,1,021,01,2,1,5220,3
12,2012,08,2,12,079,10,1,050,03, ,2,    , 
12,2012,08,2,12,080,08,1,058,04,6,2,    , 
12,2012,08,2,12,080,09,1,059,02,2,1,8263,1
12,2012,08,2,12,086,05,1,115,03,4,2,    , 
12,2012,08,2,12,088,05,1,135,02, ,2,    , 
12,2012,09,1,12,094,04,1,004,01,2,1,9131,1
12,2012,09,1,12,094,04,1,004,02,2,1,5220,1
12,2012,09,2,12,106,07,1,127,04, ,2,    , 
12,2012,09,2,12,107,06,1,136,03,2,2,    , 
12,2012,09,2,12,110,05,1,165,03, ,2,    , 
12,2012,10,1,12,113,01,1,001,03, ,1,7211,1
12,2012,10,1,12,113,04,1,004,03,2,1,5141,1
12,2012,10,2,12,121,04,1,084,01,2,1,9113,1
12,2012,10,2,12,126,01,1,131,03,2,1,7129,1
12,2012,10,2,12,127,07,1,147,02,2,1,7433,1
12,2012,10,2,12,128,08,1,158,03,1,2,    , 
12,2012,10,2,12,129,01,1,161,08,2,2,    , 
12,2012,10,2,12,131,03,1,183,03,9,1,4131,1
12,2012,11,2,12,135,05,1,035,01,2,1,5161,1
12,2012,11,2,12,135,05,1,035,03,2,2,    , 
12,2012,11,2,12,135,06,1,036,02,3,2,    , 
12,2012,11,2,12,139,08,1,078,03, ,1,5122,1
12,2012,11,2,12,143,06,1,116,03,2,1,9313,1
12,2012,11,2,12,148,02,1,163,03, ,2,    , 
12,2012,11,2,12,148,07,1,168,03, ,1,3122,3
12,2012,12,2,12,151,07,1,017,03,3,2,    , 
12,2012,12,2,12,153,05,1,035,02, ,2,    , 
12,2012,12,2,12,153,06,1,036,01,9,1,5133,1
12,2012,12,2,12,153,09,1,039,03,2,2,    , 
12,2012,12,2,12,154,08,1,048,03, ,2,    , 
12,2012,12,2,12,156,08,1,068,02,3,1,7437,1
12,2012,12,2,12,159,07,1,097,03, ,2,    , 
12,2012,12,2,12,166,02,1,162,03, ,1,4122,1
12,2012,12,2,12,166,02,1,162,04, ,1,4122,1
12,2012,04,2,13,002,06,1,017,03,2,1,7232,1
12,2012,04,2,13,002,07,1,018,03, ,1,8324,1
12,2012,04,2,13,006,04,1,055,02,1,1,0000,1
12,2012,04,2,13,006,10,1,061,02,1,1,7433,3
12,2012,04,2,13,006,10,1,061,03,1,1,9132,1
12,2012,04,1,13,007,09,1,072,09,2,2,    , 
12,2012,05,2,13,012,05,1,015,03,2,1,7436,1
12,2012,05,2,13,019,10,1,090,03, ,2,    , 
12,2012,06,2,13,023,09,1,019,04,9,2,    , 
12,2012,06,2,13,024,09,1,029,03, ,2,    , 
12,2012,06,2,13,024,10,1,030,04,9,2,    , 
12,2012,06,1,13,027,05,1,045,02,9,2,    , 
12,2012,06,2,13,029,05,1,065,06,2,2,    , 
12,2012,06,2,13,030,07,1,077,03,2,2,    , 
12,2012,06,2,13,031,09,1,089,03, ,1,3412,1
12,2012,07,2,13,034,08,1,030,03, ,1,7122,3
12,2012,07,2,13,034,09,1,031,02,1,2,    , 
12,2012,07,2,13,035,01,1,093,03,1,2,    , 
12,2012,07,2,13,035,01,1,093,04,1,2,    , 
12,2012,07,2,13,035,01,1,093,05,6,2,    , 
12,2012,07,2,13,035,01,1,093,06,6,2,    , 
12,2012,07,2,13,036,02,1,064,02,2,2,    , 
12,2012,07,2,13,037,09,1,061,03,2,2,    , 
12,2012,07,2,13,039,01,1,073,03,3,2,    , 
12,2012,07,2,13,039,08,1,080,03,2,2,    , 
12,2012,07,3,13,040,07,1,017,03,9,1,9311,1
12,2012,07,3,13,040,07,1,017,04,9,1,9211,1
12,2012,07,2,13,041,04,1,004,03,1,1,4211,4
12,2012,07,2,13,042,02,1,104,04,9,1,7241,1
12,2012,08,2,13,046,03,1,063,03,9,2,    , 
12,2012,08,2,13,048,03,1,033,04,1,2,    , 
12,2012,08,2,13,048,09,1,039,03, ,1,4115,1
12,2012,08,2,13,050,09,1,079,02,2,1,5121,4
12,2012,08,2,13,050,10,1,080,01,1,1,4115,1
12,2012,08,2,13,051,04,1,044,03, ,1,7231,1
12,2012,09,2,13,053,05,1,025,03,1,1,4115,1
12,2012,09,1,13,056,06,1,066,03,9,1,5122,1
12,2012,09,1,13,056,07,1,067,02,2,1,8269,1
12,2012,09,2,13,059,02,1,072,03, ,2,    , 
12,2012,09,2,13,060,02,1,102,05,6,2,    , 
12,2012,09,2,13,060,04,1,104,02,2,1,9341,3
12,2012,09,2,13,060,04,1,104,05,2,1,6152,1
12,2012,09,2,13,060,05,1,105,03,9,2,    , 
12,2012,10,2,13,067,08,1,069,03, ,2,    , 
