REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2012,04,2,11,007,09,1,080,03,60,60, , ,  , 
 7,2012,04,2,11,008,01,1,082,01,40,40, , ,  , 
 7,2012,04,2,11,008,01,1,082,02,40,40, , ,  , 
 7,2012,04,2,11,008,02,1,083,01,40,60, , ,  , 
 7,2012,04,2,11,008,03,1,084,01,45,45, , ,  , 
 7,2012,04,2,11,008,04,1,085,01,54,54, , ,  , 
 7,2012,04,2,11,008,04,1,085,03,40,40, , ,  , 
 7,2012,04,2,11,008,06,1,087,01,35,35, , ,  , 
 7,2012,04,2,11,008,06,1,087,02,54,54, , ,  , 
 7,2012,04,2,11,008,07,1,088,01,60,60, , ,  , 
 7,2012,04,2,11,008,07,1,088,03,40,40, , ,  , 
 7,2012,04,2,11,008,08,1,089,04,54,54, , ,  , 
 7,2012,04,2,11,008,09,1,090,01,54,54, , ,  , 
 7,2012,04,2,11,008,10,1,091,01,60,60, , ,  , 
 7,2012,04,2,11,009,02,1,113,01,56,56, , ,  , 
 7,2012,04,2,11,009,05,1,116,01,42,42, , ,  , 
 7,2012,04,2,11,009,05,1,116,03,48,48, , ,  , 
 7,2012,04,2,11,009,06,1,117,01,14,  ,2, ,  , 
 7,2012,04,2,11,009,06,1,117,02,48,48, , ,  , 
 7,2012,04,2,11,009,07,1,118,02,42,42, , ,  , 
 7,2012,04,2,11,009,07,1,118,03,21,  ,2, ,  , 
 7,2012,04,2,11,009,07,1,118,05,48,48, , ,  , 
 7,2012,04,2,11,009,09,1,120,01,48,48, , ,  , 
 7,2012,04,2,11,009,09,1,120,02,48,48, , ,  , 
 7,2012,04,2,11,009,10,1,121,01,14,  ,2, ,  , 
 7,2012,04,2,11,009,10,1,121,02,70,70, , ,  , 
 7,2012,04,2,11,010,01,1,021,01,20,  ,2, ,  , 
 7,2012,04,2,11,010,02,1,022,01,15,  ,2, ,  , 
 7,2012,04,2,11,010,02,1,022,02,64,64, , ,  , 
 7,2012,04,2,11,010,03,1,023,03,70,70, , ,  , 
 7,2012,04,2,11,010,04,1,024,01,40,35, , ,  , 
 7,2012,04,2,11,010,04,1,024,02,58,58, , ,  , 
 7,2012,04,2,11,010,05,1,025,01,65,65, , ,  , 
 7,2012,04,2,11,010,05,1,025,02,24,  ,2, ,  , 
 7,2012,04,2,11,010,05,1,025,03,60,52, , ,  , 
 7,2012,04,2,11,010,06,1,026,01,65,65, , ,  , 
 7,2012,04,2,11,010,06,1,026,02,60,60, , ,  , 
 7,2012,04,2,11,010,07,1,027,04,35,30, , ,  , 
 7,2012,04,2,11,010,07,1,027,05,30,  ,2, ,  , 
 7,2012,04,2,11,010,07,1,027,06,35,35, , ,  , 
 7,2012,04,2,11,010,08,1,028,01,50,42, , ,  , 
 7,2012,04,2,11,010,09,1,029,01,50,50, , ,  , 
 7,2012,04,2,11,010,09,1,029,02,42,36, , ,  , 
 7,2012,04,2,11,010,10,1,030,01,50,45, , ,  , 
 7,2012,04,2,11,010,10,1,030,02,50,45, , ,  , 
 7,2012,04,1,11,011,01,1,122,01,40,20, , ,  , 
 7,2012,04,1,11,011,02,1,123,01,45,30, , ,  , 
 7,2012,04,1,11,011,02,1,123,03,45,30, , ,  , 
 7,2012,04,1,11,011,03,1,124,01,50,30, , ,  , 
 7,2012,04,1,11,011,04,1,125,02,50,40, , ,  , 
 7,2012,04,1,11,011,05,1,126,01,50,30, , ,  , 
 7,2012,04,1,11,011,05,1,126,07,45,30, , ,  , 
 7,2012,04,1,11,011,06,1,127,01,50,30, , ,  , 
 7,2012,04,1,11,011,06,1,127,02,20,  ,2, ,  , 
 7,2012,04,1,11,011,07,1,128,02,50,30, , ,  , 
 7,2012,04,1,11,011,08,1,129,01,50,30, , ,  , 
 7,2012,04,1,11,011,08,1,129,03,45,30, , ,  , 
 7,2012,04,1,11,011,10,1,131,01,50,50, , ,  , 
 7,2012,04,1,11,011,10,1,131,02,50,50, , ,  , 
 7,2012,04,1,11,011,10,1,131,04,50,20, , ,  , 
 7,2012,04,1,11,012,01,1,132,01,50,20, , ,  , 
 7,2012,04,1,11,012,01,1,132,02,45,20, , ,  , 
 7,2012,04,1,11,012,02,1,133,01,40,24, , ,  , 
 7,2012,04,1,11,012,04,1,135,02,40,16, , ,  , 
 7,2012,04,1,11,012,05,1,136,01,40,20, , ,  , 
 7,2012,04,1,11,012,05,1,136,03,40,16, , ,  , 
 7,2012,04,1,11,012,06,1,137,01,40,16, , ,  , 
 7,2012,04,1,11,013,01,1,031,01,40,20, , ,  , 
 7,2012,04,1,11,013,01,1,031,02,40,08, , ,  , 
 7,2012,04,1,11,013,01,1,031,06,55,50, , ,  , 
 7,2012,04,1,11,013,01,1,031,07,50,35, , ,  , 
 7,2012,04,1,11,013,02,1,032,02,24,  ,2, ,  , 
 7,2012,04,1,11,013,02,1,032,05,60,35, , ,  , 
 7,2012,04,1,11,013,02,1,032,06,55,20, , ,  , 
 7,2012,04,1,11,013,03,1,033,02,45,45, , ,  , 
 7,2012,04,1,11,013,03,1,033,06,42,38, , ,  , 
 7,2012,04,1,11,013,03,1,033,07,35,35, , ,  , 
 7,2012,04,1,11,013,03,1,033,08,50,50, , ,  , 
 7,2012,04,1,11,013,03,1,033,09,50,00, , ,  , 
 7,2012,04,1,11,013,03,1,033,10,55,55, , ,  , 
 7,2012,04,1,11,013,04,1,034,03,55,35, , ,  , 
 7,2012,04,1,11,013,04,1,034,04,55,45, , ,  , 
 7,2012,04,1,11,013,06,1,036,05,50,30, , ,  , 
 7,2012,04,1,11,013,09,1,039,01,45,35, , ,  , 
 7,2012,04,1,11,013,10,1,040,03,50,30, , ,  , 
 7,2012,04,1,11,013,10,1,040,04,55,40, , ,  , 
 7,2012,04,1,11,014,01,1,182,03,40,24, , ,  , 
 7,2012,04,1,11,014,01,1,182,04,44,30, , ,  , 
 7,2012,04,1,11,014,01,1,182,06,60,30, , ,  , 
 7,2012,04,1,11,014,02,1,183,01,44,32, , ,  , 
 7,2012,04,1,11,014,04,1,185,04,45,15, , ,  , 
 7,2012,04,1,11,014,05,1,186,06,60,25, , ,  , 
 7,2012,04,1,11,014,07,1,188,01,40,30, , ,  , 
 7,2012,04,1,11,014,07,1,188,02,45,40, , ,  , 
 7,2012,04,1,11,014,07,1,188,06,60,40, , ,  , 
 7,2012,04,1,11,014,08,1,189,01,38,20, , ,  , 
 7,2012,04,1,11,014,08,1,189,02,30,  ,2, ,  , 
 7,2012,04,1,11,014,10,1,191,01,25,  ,2, ,  , 
 7,2012,04,1,11,015,01,1,041,01,45,32, , ,  , 
 7,2012,04,1,11,015,01,1,041,02,45,32, , ,  , 
 7,2012,04,1,11,015,01,2,042,01,40,40, , ,  , 
 7,2012,04,1,11,015,01,2,042,02,40,40, , ,  , 
 7,2012,04,1,11,015,02,1,043,01,45,24, , ,  , 
 7,2012,04,1,11,015,02,1,043,02,45,24, , ,  , 
 7,2012,04,1,11,015,03,1,044,01,40,16, , ,  , 
 7,2012,04,1,11,015,03,1,044,02,40,24, , ,  , 
 7,2012,04,1,11,015,05,1,046,01,45,32, , ,  , 
 7,2012,04,1,11,015,05,1,046,03,45,24, , ,  , 
 7,2012,04,1,11,015,06,1,047,02,45,45, , ,  , 
 7,2012,04,1,11,015,06,1,047,03,45,45, , ,  , 
 7,2012,04,1,11,015,07,1,048,01,48,40, , ,  , 
 7,2012,04,1,11,015,09,1,050,01,70,40, , ,  , 
 7,2012,04,1,11,016,01,1,152,01,56,40, , ,  , 
 7,2012,04,1,11,016,02,1,153,01,40,40, , ,  , 
 7,2012,04,1,11,016,03,1,154,03,40,20, , ,  , 
 7,2012,04,1,11,016,05,1,156,01,70,40, , ,  , 
 7,2012,04,1,11,016,08,1,159,01,56,20, , ,  , 
 7,2012,04,1,11,016,09,1,160,01,40,60, , ,  , 
 7,2012,04,1,11,016,10,1,161,01,70,20, , ,  , 
 7,2012,04,1,11,017,01,1,092,01,45,45, , ,  , 
 7,2012,04,1,11,017,02,1,093,02,60,40, , ,  , 
 7,2012,04,1,11,017,03,1,094,04,48,40, , ,  , 
 7,2012,04,1,11,017,04,1,095,02,60,60, , ,  , 
 7,2012,04,1,11,017,05,1,096,01,50,40, , ,  , 
 7,2012,04,1,11,017,05,1,096,02,70,70, , ,  , 
 7,2012,04,1,11,017,05,1,096,03,40,40, , ,  , 
 7,2012,04,1,11,017,05,1,096,04,52,35, , ,  , 
 7,2012,04,1,11,017,06,1,097,02,45,45, , ,  , 
 7,2012,04,1,11,017,06,1,097,03,60,20, , ,  , 
 7,2012,04,1,11,017,07,1,098,02,45,08, , ,  , 
 7,2012,04,1,11,017,07,1,098,04,40,00, , ,  , 
 7,2012,04,1,11,017,08,1,099,01,60,40, , ,  , 
 7,2012,04,1,11,017,10,1,101,01,52,40, , ,  , 
 7,2012,04,1,11,017,10,1,101,02,52,00, , ,  , 
 7,2012,04,1,11,018,01,1,052,02,55,35, , ,  , 
 7,2012,04,1,11,018,03,1,054,01,65,45, , ,  , 
 7,2012,04,1,11,018,03,1,054,02,55,35, , ,  , 
 7,2012,04,1,11,018,04,1,055,01,45,35, , ,  , 
 7,2012,04,1,11,018,06,1,057,01,60,50, , ,  , 
 7,2012,04,1,11,018,06,1,057,02,50,40, , ,  , 
 7,2012,04,1,11,018,07,1,058,03,60,40, , ,  , 
 7,2012,04,1,11,018,08,1,059,03,60,40, , ,  , 
 7,2012,04,1,11,018,08,1,059,04,45,00, , ,  , 
 7,2012,04,1,11,018,09,1,060,01,60,40, , ,  , 
 7,2012,04,1,11,018,09,1,060,05,65,45, , ,  , 
 7,2012,04,1,11,018,10,1,061,01,60,40, , ,  , 
 7,2012,04,1,11,019,01,1,062,01,65,45, , ,  , 
 7,2012,04,1,11,019,02,1,063,01,65,65, , ,  , 
 7,2012,04,1,11,019,03,1,064,01,55,35, , ,  , 
 7,2012,04,1,11,019,04,1,065,01,65,45, , ,  , 
 7,2012,04,1,11,019,04,1,065,02,60,60, , ,  , 
 7,2012,04,1,11,019,04,1,065,03,65,65, , ,  , 
 7,2012,04,1,11,019,06,1,067,01,65,45, , ,  , 
 7,2012,04,1,11,019,07,1,068,02,60,40, , ,  , 
 7,2012,04,1,11,019,07,1,068,03,60,00, , ,  , 
 7,2012,04,1,11,019,08,1,069,02,55,35, , ,  , 
 7,2012,04,1,11,019,09,1,070,02,65,45, , ,  , 
 7,2012,04,1,11,019,10,1,071,02,50,40, , ,  , 
 7,2012,05,1,11,020,01,1,051,02,54,72, , ,  , 
 7,2012,05,1,11,020,02,1,052,05,45,45, , ,  , 
 7,2012,05,1,11,020,02,1,052,07,48,60, , ,  , 
 7,2012,05,1,11,020,05,1,055,01,36,36, , ,  , 
 7,2012,05,1,11,020,05,1,055,04,45,50, , ,  , 
 7,2012,05,1,11,020,05,1,055,05,48,48, , ,  , 
 7,2012,05,1,11,020,07,1,057,01,70,70, , ,  , 
 7,2012,05,1,11,020,07,1,057,03,48,48, , ,  , 
 7,2012,05,1,11,020,07,1,057,04,50,60, , ,  , 
 7,2012,05,1,11,020,07,1,057,05,50,50, , ,  , 
 7,2012,05,1,11,020,08,1,058,01,48,48, , ,  , 
 7,2012,05,1,11,020,08,1,058,03,36,36, , ,  , 
 7,2012,05,1,11,021,01,1,131,01,50,60, , ,  , 
 7,2012,05,1,11,021,01,1,131,02,60,60, , ,  , 
 7,2012,05,1,11,021,02,1,132,01,84,84, , ,  , 
 7,2012,05,1,11,021,03,1,133,02,50,50, , ,  , 
 7,2012,05,1,11,021,03,1,133,03,25,  ,2, ,  , 
 7,2012,05,1,11,021,04,1,134,01,70,70, , ,  , 
 7,2012,05,1,11,021,05,1,135,01,60,60, , ,  , 
 7,2012,05,1,11,021,05,1,135,02,36,36, , ,  , 
 7,2012,05,1,11,021,05,1,135,03,50,60, , ,  , 
 7,2012,05,1,11,021,06,1,136,01,60,70, , ,  , 
 7,2012,05,1,11,021,06,1,136,03,50,60, , ,  , 
 7,2012,05,1,11,021,08,1,138,01,60,60, , ,  , 
 7,2012,05,1,11,021,08,1,138,05,60,60, , ,  , 
 7,2012,05,1,11,021,09,1,139,02,60,60, , ,  , 
 7,2012,05,1,11,021,09,1,139,03,60,60, , ,  , 
 7,2012,05,1,11,022,01,1,021,01,48,48, , ,  , 
 7,2012,05,1,11,022,02,1,022,01,48,48, , ,  , 
 7,2012,05,1,11,022,03,1,023,01,48,48, , ,  , 
 7,2012,05,1,11,022,04,1,024,02,52,56, , ,  , 
 7,2012,05,1,11,022,04,1,024,03,52,52, , ,  , 
 7,2012,05,1,11,022,05,1,025,02,30,  ,2, ,  , 
 7,2012,05,1,11,022,06,1,026,02,60,60, , ,  , 
 7,2012,05,1,11,022,07,1,027,02,46,48, , ,  , 
 7,2012,05,1,11,022,08,1,028,01,20,  ,2, ,  , 
 7,2012,05,1,11,022,08,1,028,03,48,48, , ,  , 
 7,2012,05,1,11,022,08,1,028,04,56,56, , ,  , 
 7,2012,05,1,11,022,08,1,028,05,30,  ,2, ,  , 
 7,2012,05,1,11,022,08,1,028,06,30,  ,2, ,  , 
 7,2012,05,2,11,023,01,1,011,02,70,70, , ,  , 
 7,2012,05,2,11,023,01,1,011,03,56,00, , ,  , 
 7,2012,05,2,11,023,02,1,012,01,21,  ,2, ,  , 
 7,2012,05,2,11,023,03,1,013,01,84,72, , ,  , 
 7,2012,05,2,11,023,04,1,014,01,45,51, , ,  , 
 7,2012,05,2,11,023,04,1,014,02,40,48, , ,  , 
 7,2012,05,2,11,023,05,1,015,02,46,46, , ,  , 
 7,2012,05,2,11,023,07,1,017,03,48,48, , ,  , 
 7,2012,05,2,11,023,09,1,019,01,51,51, , ,  , 
 7,2012,05,2,11,023,09,1,019,02,45,45, , ,  , 
 7,2012,05,2,11,023,10,1,020,01,40,40, , ,  , 
 7,2012,05,1,11,024,01,1,111,02,40,40, , ,  , 
 7,2012,05,1,11,024,01,1,111,06,60,60, , ,  , 
 7,2012,05,1,11,024,02,1,112,01,35,35, , ,  , 
 7,2012,05,1,11,024,03,1,113,01,50,50, , ,  , 
 7,2012,05,1,11,024,05,1,115,01,70,70, , ,  , 
 7,2012,05,1,11,024,06,1,116,02,40,40, , ,  , 
 7,2012,05,1,11,024,07,1,117,01,63,63, , ,  , 
 7,2012,05,1,11,024,08,1,118,01,49,49, , ,  , 
 7,2012,05,1,11,024,09,1,119,01,35,35, , ,  , 
 7,2012,05,1,11,024,10,1,120,02,40,40, , ,  , 
 7,2012,05,1,11,025,02,1,122,02,16,  ,2, ,  , 
 7,2012,05,1,11,025,03,1,123,03,44,44, , ,  , 
 7,2012,05,1,11,025,06,1,126,03,40,40, , ,  , 
 7,2012,05,1,11,025,06,1,126,04,15,  ,2, ,  , 
 7,2012,05,1,11,025,07,1,127,01,44,44, , ,  , 
 7,2012,05,1,11,025,07,1,127,03,40,40, , ,  , 
 7,2012,05,1,11,025,07,1,127,04,49,49, , ,  , 
 7,2012,05,1,11,025,09,1,129,01,40,40, , ,  , 
 7,2012,05,1,11,025,09,1,129,02,40,40, , ,  , 
 7,2012,05,1,11,025,09,1,129,03,70,70, , ,  , 
 7,2012,05,1,11,025,09,1,129,04,63,63, , ,  , 
 7,2012,05,2,11,026,01,1,141,01,70,70, , ,  , 
 7,2012,05,2,11,026,02,1,142,01,56,56, , ,  , 
 7,2012,05,2,11,026,03,1,143,01,70,70, , ,  , 
 7,2012,05,2,11,026,03,1,143,02,35,35, , ,  , 
 7,2012,05,2,11,026,04,1,144,01,49,49, , ,  , 
 7,2012,05,2,11,026,04,1,144,02,35,35, , ,  , 
 7,2012,05,2,11,026,06,1,146,03,49,49, , ,  , 
 7,2012,05,2,11,026,06,1,146,04,49,49, , ,  , 
 7,2012,05,2,11,027,01,1,091,01,60,60, , ,  , 
 7,2012,05,2,11,027,03,1,093,02,35,35, , ,  , 
 7,2012,05,2,11,027,03,1,093,03,50,50, , ,  , 
 7,2012,05,2,11,027,05,1,095,01,54,54, , ,  , 
