REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q27SERNO,Q27,Q28,Q29,Q30,Q31,Q32,Q33
07,2013,10,2,43,09,030,04,1,004,01,3, , , , , ,2
07,2013,10,2,43,09,030,05,1,005,01,4, , , , , ,2
07,2013,10,2,43,09,030,06,1,006,01,4, , , , , ,2
07,2013,10,2,43,09,030,07,1,007,01,4, , , , , ,2
07,2013,10,1,43,09,029,10,1,020,01,3, , , , , ,2
07,2013,10,2,53,06,039,03,1,003,01,3, , , , , ,2
07,2013,10,2,53,06,039,06,1,006,01,3, , , , , ,2
07,2013,10,2,53,06,039,10,1,010,01,1,4,2,2,2,3,2
07,2013,10,1,53,15,040,01,1,011,01,3, , , , , ,2
07,2013,10,1,53,15,040,04,1,014,01,3, , , , , ,2
07,2013,10,2,53,24,042,03,1,033,01,3, , , , , ,2
07,2013,10,2,91,06,090,09,1,039,03,3, , , , , ,1
07,2013,10,2,91,15,092,06,1,026,01,3, , , , , ,2
07,2013,10,2,91,15,092,08,1,028,01,3, , , , , ,2
07,2013,10,2,91,15,092,09,1,029,01,3, , , , , ,2
07,2013,10,2,91,15,092,10,1,030,01,3, , , , , ,2
07,2013,10,2,91,21,093,10,1,090,01,1,4, , , , ,3
07,2013,10,2,91,36,096,06,1,056,01,3, , , , , ,2
07,2013,10,2,62,48,057,01,1,051,01,3, , , , , ,2
07,2013,10,2,62,30,055,01,1,031,01,3, , , , , ,2
07,2013,10,2,62,30,055,01,1,031,02,4, , , , , ,2
07,2013,10,2,62,30,055,02,1,032,01,3, , , , , ,2
07,2013,10,2,62,30,055,04,1,034,02,4, , , , , ,2
07,2013,10,2,62,30,055,05,1,035,01,1,3,2,2,2,3,2
07,2013,10,2,62,30,055,05,1,035,02,3, , , , , ,2
07,2013,10,1,62,15,053,08,1,018,01,1,3,2,2,2,3,3
07,2013,10,2,72,03,040,06,1,026,01,3, , , , , ,2
07,2013,10,2,72,03,040,08,1,028,03,1,3,2,2,2,3,2
07,2013,10,2,72,03,040,09,1,029,01,1,3,2,2,2,3,2
07,2013,10,2,72,06,041,01,1,001,01,3, , , , , ,2
07,2013,10,2,72,10,042,05,1,015,01,3, , , , , ,2
07,2013,10,2,72,12,043,08,1,038,01,1,2,2,2,2,3,1
07,2013,10,2,72,18,044,01,1,041,01,1,2,2,2,2,3,2
07,2013,10,2,72,18,044,05,1,045,01,1,2,2,2,2,3,2
07,2013,10,2,23,06,046,06,1,006,01,3, , , , , ,2
07,2013,10,2,23,06,046,06,1,006,02,4, , , , , ,2
07,2013,10,1,23,12,048,01,1,021,02,3, , , , , ,2
07,2013,10,1,23,12,048,03,1,023,01,3, , , , , ,2
07,2013,10,2,23,15,049,02,1,032,01,3, , , , , ,2
07,2013,10,2,23,15,049,09,1,039,01,3, , , , , ,2
07,2013,10,3,23,15,050,05,1,045,01,3, , , , , ,2
07,2013,10,3,23,15,050,05,1,045,02,4, , , , , ,2
07,2013,10,3,23,15,050,06,1,046,01,3, , , , , ,2
07,2013,10,3,23,15,050,07,1,047,01,3, , , , , ,2
07,2013,10,3,23,15,050,07,1,047,02,4, , , , , ,2
07,2013,10,3,23,15,050,08,1,048,01,4, , , , , ,2
07,2013,10,3,23,15,050,08,1,048,02,3, , , , , ,2
07,2013,10,3,23,15,050,10,1,050,01,3, , , , , ,2
07,2013,10,3,23,15,050,10,1,050,02,4, , , , , ,2
07,2013,10,2,44,15,030,10,1,030,01,3, , , , , ,2
07,2013,10,2,82,12,037,08,1,018,01,4, , , , , ,2
07,2013,10,2,32,06,091,02,1,012,01,3, , , , , ,2
07,2013,10,2,32,15,093,05,1,045,01,3, , , , , ,2
07,2013,10,2,32,15,093,09,1,049,01,3, , , , , ,2
07,2013,10,2,32,21,094,01,1,091,01,3, , , , , ,2
07,2013,10,2,32,21,094,02,1,092,01,3, , , , , ,2
07,2013,10,2,32,36,096,10,1,090,01,3, , , , , ,2
07,2013,10,2,32,42,098,04,1,054,01,3, , , , , ,2
07,2013,10,2,61,78,173,05,1,125,01,3, , , , , ,2
07,2013,10,2,61,72,171,01,1,141,01,3, , , , , ,2
07,2013,10,2,61,57,168,03,1,093,01,3, , , , , ,2
07,2013,10,2,61,51,166,01,1,051,02,3, , , , , ,2
07,2013,10,2,61,51,166,05,1,055,01,3, , , , , ,2
07,2013,10,2,61,51,166,05,1,055,05,3, , , , , ,2
07,2013,10,2,61,51,166,06,1,056,02,3, , , , , ,2
07,2013,10,2,61,48,165,03,1,063,01,3, , , , , ,2
07,2013,10,2,61,48,165,09,1,069,01,3, , , , , ,2
07,2013,10,2,61,36,163,01,1,021,01,3, , , , , ,2
07,2013,10,2,61,36,163,05,1,025,03,1,4, , , , ,2
07,2013,10,2,61,30,162,03,1,103,01,3, , , , , ,2
07,2013,10,2,61,30,162,04,1,104,01,3, , , , , ,2
07,2013,10,2,61,30,162,04,1,104,02,3, , , , , ,2
07,2013,10,2,61,27,161,07,1,077,01,3, , , , , ,2
07,2013,10,2,61,27,161,07,1,077,02,3, , , , , ,2
07,2013,10,2,61,24,160,03,1,153,01,3, , , , , ,2
07,2013,10,2,61,15,159,06,1,036,01,3, , , , , ,2
07,2013,10,2,92,18,093,04,1,054,01,3, , , , , ,2
07,2013,10,2,92,18,094,05,1,065,01,3, , , , , ,2
07,2013,10,2,92,18,094,10,1,071,01,1,2,1,1,1,3,2
07,2013,10,2,92,24,095,03,1,074,01,3, , , , , ,2
07,2013,10,2,92,24,095,09,1,080,03,1,4, , , , ,1
07,2013,10,3,92,30,097,07,1,098,01,1,2,1,1,1,3,2
07,2013,10,2,21,09,164,03,1,013,04,3, , , , , ,2
07,2013,10,2,21,09,164,04,1,014,04,3, , , , , ,1
07,2013,10,1,21,12,165,01,1,131,01,3, , , , , ,2
07,2013,10,2,21,21,167,02,1,032,01,3, , , , , ,2
07,2013,10,2,21,27,168,06,1,146,01,3, , , , , ,2
07,2013,10,2,21,36,173,04,1,164,01,3, , , , , ,2
07,2013,10,2,21,39,174,01,1,071,03,3, , , , , ,2
07,2013,10,2,21,39,175,01,1,081,01,3, , , , , ,2
07,2013,10,2,21,39,175,01,1,081,02,4, , , , , ,2
07,2013,10,3,21,48,177,09,1,179,01,3, , , , , ,2
07,2013,10,2,21,54,180,06,1,116,01,3, , , , , ,2
07,2013,10,2,21,54,180,06,1,116,02,4, , , , , ,2
07,2013,10,2,21,54,180,10,1,120,01,3, , , , , ,2
07,2013,10,2,13,27,102,01,1,021,01,3, , , , , ,2
