REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q7SERNO,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
04,2013,10,2,43,09,030,01,1,001,02,9216,01132,1,2,2,2,2,3
04,2013,10,2,43,09,030,02,1,002,01,5121,97001,1,2,2,2,2,3
04,2013,10,2,43,09,030,02,1,002,03,8323,51100,3, , , , , 
04,2013,10,2,43,09,030,03,1,003,01,9211,01132,1,2,2,2,2,3
04,2013,10,2,43,09,030,04,1,004,01,9211,33110,1,2,2,2,2,3
04,2013,10,2,43,09,030,05,1,005,01,6111,01133,3, , , , , 
04,2013,10,2,43,09,030,06,1,006,01,6111,01133,3, , , , , 
04,2013,10,2,43,09,030,06,1,006,03,3313,99009,1,2,2,2,2,3
04,2013,10,2,43,09,030,06,1,006,04,2342,85101,1,2,2,2,2,2
04,2013,10,2,43,09,030,07,1,007,01,6111,01133,3, , , , , 
04,2013,10,2,43,09,030,09,1,009,01,6121,01414,3, , , , , 
04,2013,10,2,43,09,030,09,1,009,03,9322,14101,1,2,2,2,2,3
04,2013,10,2,43,09,030,09,1,009,04,3115,25921,1,2,2,2,2,3
04,2013,10,2,43,09,030,10,1,010,03,2330,85309,1,1,1,1,1,1
04,2013,10,1,43,09,029,01,1,011,03,5223,47217,3, , , , , 
04,2013,10,1,43,09,029,02,1,012,01,6113,01120,3, , , , , 
04,2013,10,1,43,09,029,02,1,012,02,5223,47217,3, , , , , 
04,2013,10,1,43,09,029,05,1,015,01,3113,35109,3, , , , , 
04,2013,10,1,43,09,029,05,1,015,02,2330,85502,1,1,1,1,1,1
04,2013,10,1,43,09,029,07,1,017,01,7212,25111,3, , , , , 
04,2013,10,1,43,09,029,08,1,018,02,2212,84120,1,1,1,1,1,1
04,2013,10,1,43,09,029,09,1,019,01,9629,84110,1,1,1,1,1,1
04,2013,10,1,43,09,029,10,1,020,01,6113,01120,3, , , , , 
04,2013,10,2,43,06,028,01,1,021,01,6113,01120,3, , , , , 
04,2013,10,2,43,06,028,01,1,021,02,4110,84130,1,1,1,1,1,1
