REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q57SERNO,Q57,Q58,Q59,Q60,Q61
13,2013,10,2,43,06,028,02,1,022,03,002500,1,2,    , 
13,2013,10,1,53,15,040,01,1,011,02,020000,1,1,2330,1
13,2013,10,2,53,15,041,07,1,027,03,025000,3,1,2341,1
13,2013,10,1,91,12,091,05,1,065,06,015000,3,2,    , 
13,2013,10,3,91,24,094,09,1,099,02,015000,2,2,    , 
13,2013,10,2,91,27,095,09,1,009,03,015000,2,2,    , 
13,2013,10,2,91,36,096,03,1,053,02,020000,3,1,3313,1
13,2013,10,2,62,30,055,09,1,039,03,020000,2,2,    , 
13,2013,10,2,72,12,043,09,1,039,05,010000,1,2,    , 
13,2013,10,2,72,18,044,08,1,048,01,020000,3,1,7513,3
13,2013,10,2,72,18,044,08,1,048,02,035000,1,2,    , 
13,2013,10,2,23,06,046,03,1,003,04,015000,3,2,    , 
13,2013,10,1,23,12,048,04,1,024,03,020000,1,1,2330,1
13,2013,10,2,32,21,094,05,1,095,03,015000,3,2,    , 
13,2013,10,2,32,21,094,06,1,096,03,040000,2,2,    , 
13,2013,10,2,32,21,094,06,1,096,04,035000,3,1,5131,1
13,2013,10,2,32,27,095,02,1,072,03,025000,3,2,    , 
13,2013,10,2,32,27,095,03,1,073,03,020000,2,2,    , 
13,2013,10,2,32,36,096,01,1,081,04,015000,3,1,5211,1
13,2013,10,2,32,36,096,03,1,083,01,015000,1,1,9211,1
13,2013,10,2,32,36,096,09,1,089,04,025000,2,2,    , 
13,2013,10,2,32,42,098,01,1,051,05,020000,3,2,    , 
13,2013,10,1,32,42,099,01,1,021,03,024000,3,2,    , 
13,2013,10,1,32,42,099,07,1,027,03,024000,3,2,    , 
13,2013,10,2,32,48,100,01,1,031,01,040000,3,1,7113,2
13,2013,10,2,32,48,100,09,1,039,03,015000,3,1,9211,1
13,2013,10,2,32,48,100,10,1,040,03,015000,3,2,    , 
13,2013,10,1,42,03,029,06,1,017,02,020000,2,2,    , 
13,2013,10,2,42,03,028,07,1,007,04,025000,3,2,    , 
13,2013,10,2,61,75,172,01,1,131,03,018000,1,2,    , 
13,2013,10,2,61,63,169,04,1,044,02,025000,2,2,    , 
