REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4_SEX,P5_AGE,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH
 2,2010,01,1,11,002,03,1,013,01,1,2,70,4,3,2,03,5,2,2,2
 2,2010,01,1,11,002,03,1,013,02,2,1,73,4,3,2,05,5,2,1,2
 2,2010,01,1,11,002,03,1,013,03,3,1,31,4,3,1,13,5,1,1,1
 2,2010,01,1,11,002,03,1,013,04,3,2,40,4,3,5,10,4,1,1,1
 2,2010,01,1,11,002,03,1,013,05,5,1,07,4,3,1,02,1, , , 
 2,2010,01,1,11,002,04,1,014,01,1,1,33,4,3,2,10,5,2,1,1
 2,2010,01,1,11,002,04,1,014,02,2,2,32,4,3,2,13,5,1,1,1
 2,2010,01,1,11,002,04,1,014,03,3,2,08,4,3,1,03,1, , , 
 2,2010,01,1,11,002,04,1,014,04,3,1,02,4,3,1,  , , , , 
 2,2010,01,1,11,002,04,1,014,05,3,1,00,4,3,1,  , , , , 
 2,2010,01,1,11,002,05,1,015,01,1,2,76,4,3,3,02,5,2,2,2
 2,2010,01,1,11,002,05,1,015,02,3,2,60,4,3,3,05,5,2,2,2
 2,2010,01,1,11,002,05,1,015,03,5,1,40,4,3,4,08,5,2,1,2
 2,2010,01,1,11,002,05,1,015,04,5,1,28,4,3,1,07,5,2,1,2
 2,2010,01,1,11,002,05,1,015,05,5,2,32,4,3,3,10,5,2,1,2
 2,2010,01,1,11,002,06,1,016,01,1,2,56,4,3,2,19,5,2,2,2
 2,2010,01,1,11,002,06,1,016,02,2,1,56,4,3,2,10,5,2,1,2
 2,2010,01,1,11,002,06,1,016,03,3,1,30,4,3,1,09,5,2,1,2
 2,2010,01,1,11,002,06,1,016,04,3,1,25,4,3,1,11,5,2,1,1
 2,2010,01,1,11,002,06,1,016,05,3,1,22,4,3,1,08,5,2,1,2
 2,2010,01,1,11,002,06,1,016,06,5,1,52,4,3,2,06,5,2,1,2
 2,2010,01,1,11,002,06,1,016,07,5,1,50,4,3,2,03,5,2,2,2
 2,2010,01,1,11,002,06,1,016,08,5,2,35,4,3,3,10,5,2,1,2
 2,2010,01,1,11,002,06,1,016,09,5,2,55,4,3,3,19,5,2,2,2
 2,2010,01,1,11,002,06,1,016,10,5,2,22,4,3,1,09,5,2,1,2
 2,2010,01,1,11,002,06,1,016,11,5,2,19,4,3,1,09,5,2,1,2
 2,2010,01,1,11,002,06,1,016,12,5,1,17,4,3,1,10,1,1,1,1
 2,2010,01,1,11,002,06,1,016,13,5,2,13,4,3,1,08,1,1,1,1
 2,2010,01,1,11,002,07,1,017,01,1,1,28,2,4,1,11,5,1,1,2
 2,2010,01,1,11,002,07,1,017,02,4,2,45,2,4,3,08,5,2,1,2
 2,2010,01,1,11,002,07,1,017,03,5,1,20,2,4,1,10,5,2,1,2
