REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2010,01,1,11,001,01,1,001,01,70,70, , ,  , 
 7,2010,01,1,11,001,02,1,002,03,50,50, , ,  , 
 7,2010,01,1,11,001,03,1,003,01,42,42, , ,  , 
 7,2010,01,1,11,001,03,1,003,03,70,20, , ,  , 
 7,2010,01,1,11,001,03,1,003,04,70,30, , ,  , 
 7,2010,01,1,11,001,03,1,003,07,70,30, , ,  , 
 7,2010,01,1,11,001,04,1,004,01,70,50, , ,  , 
 7,2010,01,1,11,001,05,1,005,01,70,70, , ,  , 
 7,2010,01,1,11,001,05,1,005,03,14,  ,1,1,21,1
 7,2010,01,1,11,001,05,1,005,04,70,40, , ,  , 
 7,2010,01,1,11,001,07,1,007,01,56,56, , ,  , 
 7,2010,01,1,11,001,07,1,007,02,28,  ,2, ,  , 
 7,2010,01,1,11,001,09,1,009,01,60,60, , ,  , 
 7,2010,01,1,11,002,01,1,011,01,70,00, , ,  , 
 7,2010,01,1,11,002,02,1,012,02,35,35, , ,  , 
 7,2010,01,1,11,002,02,1,012,04,70,70, , ,  , 
 7,2010,01,1,11,002,03,1,013,03,36,36, , ,  , 
 7,2010,01,1,11,002,04,1,014,01,45,50, , ,  , 
 7,2010,01,1,11,002,05,1,015,03,50,50, , ,  , 
 7,2010,01,1,11,002,05,1,015,04,50,50, , ,  , 
 7,2010,01,1,11,002,05,1,015,05,20,  ,1,1,20,1
 7,2010,01,1,11,002,06,1,016,02,48,48, , ,  , 
 7,2010,01,1,11,002,06,1,016,03,45,45, , ,  , 
 7,2010,01,1,11,002,06,1,016,04,45,45, , ,  , 
 7,2010,01,1,11,002,06,1,016,06,70,30, , ,  , 
 7,2010,01,1,11,002,06,1,016,08,21,  ,1,1,20,1
 7,2010,01,1,11,002,07,1,017,01,50,50, , ,  , 
 7,2010,01,1,11,002,09,1,019,02,70,70, , ,  , 
 7,2010,01,1,11,002,09,1,019,03,70,60, , ,  , 
 7,2010,01,1,11,003,01,1,021,01,45,45, , ,  , 
 7,2010,01,1,11,003,02,1,022,01,50,50, , ,  , 
 7,2010,01,1,11,003,03,1,023,02,60,60, , ,  , 
 7,2010,01,1,11,003,05,1,025,01,70,70, , ,  , 
 7,2010,01,1,11,003,05,1,025,05,60,60, , ,  , 
 7,2010,01,1,11,003,06,1,026,01,45,45, , ,  , 
 7,2010,01,1,11,003,06,1,026,03,60,60, , ,  , 
 7,2010,01,1,11,003,06,1,026,04,40,40, , ,  , 
 7,2010,01,1,11,003,08,1,028,01,60,60, , ,  , 
 7,2010,01,1,11,003,08,1,028,02,45,45, , ,  , 
 7,2010,01,1,11,003,09,1,029,01,45,45, , ,  , 
 7,2010,01,1,11,003,09,1,029,02,45,50, , ,  , 
 7,2010,01,1,11,003,10,1,030,01,60,60, , ,  , 
 7,2010,01,2,11,004,01,1,031,01,60,60, , ,  , 
 7,2010,01,2,11,004,02,1,032,01,70,00, , ,  , 
 7,2010,01,2,11,004,02,1,032,02,48,48, , ,  , 
 7,2010,01,2,11,004,03,1,033,01,40,40, , ,  , 
 7,2010,01,2,11,004,05,1,035,01,60,50, , ,  , 
 7,2010,01,2,11,004,05,1,035,03,45,45, , ,  , 
 7,2010,01,2,11,004,05,1,035,04,40,40, , ,  , 
 7,2010,01,2,11,004,05,1,035,05,70,40, , ,  , 
 7,2010,01,2,11,004,05,1,035,06,70,00, , ,  , 
 7,2010,01,2,11,004,06,1,036,04,60,60, , ,  , 
 7,2010,01,2,11,004,07,1,037,01,40,40, , ,  , 
 7,2010,01,2,11,004,09,1,039,01,40,40, , ,  , 
 7,2010,01,2,11,004,09,1,039,04,70,70, , ,  , 
 7,2010,01,2,11,004,09,1,039,05,45,45, , ,  , 
 7,2010,01,2,11,004,09,1,039,06,45,45, , ,  , 
 7,2010,01,2,11,004,10,1,040,01,56,56, , ,  , 
 7,2010,01,2,11,004,10,1,040,02,40,45, , ,  , 
 7,2010,01,2,11,005,02,1,042,01,35,35, , ,  , 
 7,2010,01,2,11,005,02,1,042,02,56,32, , ,  , 
 7,2010,01,2,11,005,08,1,045,01,44,44, , ,  , 
 7,2010,01,2,11,005,08,1,045,02,48,48, , ,  , 
 7,2010,01,2,11,005,08,1,048,07,60,60, , ,  , 
 7,2010,01,2,11,005,09,1,049,03,40,40, , ,  , 
 7,2010,01,2,11,005,10,1,050,01,48,48, , ,  , 
 7,2010,01,2,11,006,02,1,052,01,40,40, , ,  , 
 7,2010,01,2,11,006,04,1,054,01,40,40, , ,  , 
 7,2010,01,2,11,006,06,1,056,01,84,84, , ,  , 
 7,2010,01,2,11,006,06,1,056,02,45,45, , ,  , 
 7,2010,01,2,11,006,07,1,057,01,63,36, , ,  , 
 7,2010,01,2,11,006,08,1,058,01,48,48, , ,  , 
 7,2010,01,2,11,006,08,1,058,04,84,84, , ,  , 
 7,2010,01,2,11,006,10,1,060,01,44,44, , ,  , 
 7,2010,01,2,11,007,01,1,061,01,35,35, , ,  , 
 7,2010,01,2,11,007,01,1,061,02,60,60, , ,  , 
 7,2010,01,2,11,007,02,1,062,01,54,54, , ,  , 
 7,2010,01,2,11,007,02,1,062,02,45,45, , ,  , 
 7,2010,01,2,11,007,04,1,064,03,40,40, , ,  , 
 7,2010,01,2,11,007,04,1,064,04,72,72, , ,  , 
 7,2010,01,2,11,007,05,1,065,03,45,45, , ,  , 
 7,2010,01,2,11,007,05,1,065,04,60,60, , ,  , 
 7,2010,01,2,11,007,06,1,066,02,70,70, , ,  , 
 7,2010,01,2,11,007,07,1,067,04,45,45, , ,  , 
 7,2010,01,2,11,007,08,1,068,04,55,55, , ,  , 
 7,2010,01,2,11,007,09,1,069,01,70,70, , ,  , 
 7,2010,01,2,11,007,09,1,069,02,70,70, , ,  , 
 7,2010,01,2,11,007,09,1,069,03,70,70, , ,  , 
 7,2010,01,2,11,007,10,1,070,01,84,84, , ,  , 
 7,2010,01,2,11,007,10,1,070,02,49,49, , ,  , 
 7,2010,01,2,11,008,01,1,071,01,45,35, , ,  , 
 7,2010,01,2,11,008,02,1,072,01,72,90, , ,  , 
 7,2010,01,2,11,008,04,1,074,01,40,40, , ,  , 
 7,2010,01,2,11,008,04,1,074,05,54,54, , ,  , 
 7,2010,01,2,11,008,05,1,075,03,45,45, , ,  , 
 7,2010,01,2,11,008,06,1,076,02,35,35, , ,  , 
 7,2010,01,2,11,008,07,1,077,01,77,77, , ,  , 
 7,2010,01,2,11,008,07,1,077,02,70,70, , ,  , 
 7,2010,01,2,11,008,09,1,079,03,54,54, , ,  , 
