REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2010,01,1,11,001,08,1,008,03,1,1,3439,1
12,2010,01,1,11,001,09,1,009,04, ,2,    , 
12,2010,01,1,11,002,06,1,016,03,2,2,    , 
12,2010,01,2,11,004,09,1,039,03, ,2,    , 
12,2010,01,2,11,006,01,1,051,01,9,1,8322,1
12,2010,01,2,11,008,08,1,078,02, ,1,4112,1
12,2010,01,1,11,010,05,1,095,07,2,2,    , 
12,2010,02,1,11,019,04,1,004,02,2,2,    , 
12,2010,02,2,11,021,05,1,025,04, ,1,3228,1
12,2010,02,2,11,021,09,1,029,04, ,2,    , 
12,2010,02,2,11,022,05,1,035,05,1,2,    , 
12,2010,02,2,11,023,02,1,042,01,3,1,7241,1
12,2010,02,2,11,023,09,1,050,04,2,1,7231,1
12,2010,02,2,11,024,01,1,053,01,1,1,8322,3
12,2010,02,2,11,024,09,1,061,03,1,1,5220,1
12,2010,02,2,11,025,04,1,066,02,2,1,5162,1
12,2010,02,2,11,025,07,1,069,03, ,1,2321,1
12,2010,02,2,11,025,10,1,072,04, ,1,9132,1
12,2010,02,2,11,026,02,1,074,03,2,2,    , 
12,2010,02,1,11,027,08,1,090,01,9,1,7343,1
12,2010,02,1,11,028,03,1,095,03,1,1,1226,1
12,2010,02,1,11,031,07,1,129,03,1,1,4121,1
12,2010,02,1,11,033,05,1,147,02,9,1,4121,1
12,2010,02,1,11,033,09,1,152,03, ,1,5220,1
12,2010,03,1,11,037,05,1,005,02,2,1,5220,1
12,2010,03,2,11,040,01,1,031,03, ,1,4133,1
12,2010,03,2,11,041,01,1,041,03, ,2,    , 
12,2010,03,2,11,044,10,1,080,02,1,1,7433,1
12,2010,03,2,11,045,01,1,081,03,2,1,9341,1
12,2010,03,1,11,052,10,1,150,04,3,2,    , 
12,2010,04,1,11,056,10,1,020,04, ,2,    , 
12,2010,04,1,11,056,10,1,020,05, ,2,    , 
12,2010,04,2,11,059,03,1,043,02, ,2,    , 
12,2010,04,2,11,059,09,1,049,04, ,2,    , 
12,2010,04,2,11,061,08,1,068,04,1,2,    , 
12,2010,04,2,11,063,02,1,082,01,3,1,1317,2
12,2010,04,2,11,063,05,1,085,03, ,2,    , 
12,2010,04,2,11,063,09,1,089,04,2,2,    , 
12,2010,04,3,11,064,05,1,095,03,2,1,9341,1
12,2010,04,1,11,066,02,1,102,04,2,2,    , 
12,2010,04,1,11,069,08,1,128,03,1,2,    , 
12,2010,05,2,11,077,06,1,046,03,1,2,    , 
12,2010,05,2,11,078,05,1,055,03,9,2,    , 
12,2010,05,1,11,080,08,1,078,03, ,2,    , 
12,2010,05,1,11,083,04,1,104,03, ,1,3121,1
12,2010,05,1,11,083,08,1,108,01,9,1,3142,1
12,2010,05,1,11,085,01,1,121,04,1,2,    , 
12,2010,06,1,11,093,07,1,017,04,3,2,    , 
12,2010,06,1,11,093,07,1,017,05,3,2,    , 
12,2010,06,1,11,094,07,1,027,04, ,1,3439,1
12,2010,06,2,11,097,08,1,058,03, ,1,2332,1
12,2010,06,2,11,098,08,1,068,02,1,1,2321,1
12,2010,06,1,11,101,01,1,091,01,2,1,1314,3
12,2010,06,1,11,106,07,1,147,02,2,1,5220,1
12,2010,06,1,11,106,08,1,148,03,1,1,3152,1
12,2010,06,1,11,107,06,1,156,04, ,2,    , 
12,2010,07,1,11,112,07,1,028,01,9,1,9153,1
12,2010,07,2,11,113,08,1,039,03, ,1,2411,1
12,2010,07,2,11,117,02,1,074,03,9,2,    , 
12,2010,07,1,11,124,04,1,126,03,1,1,4121,1
12,2010,07,1,11,125,01,1,133,03,1,2,    , 
12,2010,07,1,11,125,01,1,133,04, ,2,    , 
12,2010,08,2,11,131,03,1,023,05, ,1,7244,1
12,2010,08,2,11,132,07,1,037,05,1,1,5220,1
12,2010,08,2,11,136,05,1,075,01,2,1,7122,1
12,2010,08,2,11,144,09,1,150,02, ,1,3439,1
12,2010,09,2,11,149,01,1,031,02, ,1,4212,1
12,2010,09,2,11,151,06,1,046,04,1,2,    , 
12,2010,09,2,11,153,05,1,065,03, ,2,    , 
12,2010,09,2,11,155,09,1,089,03,3,2,    , 
12,2010,09,1,11,157,10,1,114,03,2,1,7413,1
12,2010,09,1,11,158,08,1,122,01,2,1,5123,1
12,2010,10,2,11,167,03,1,046,04,9,1,4121,1
12,2010,10,2,11,168,05,1,059,04,1,2,    , 
12,2010,10,2,11,171,05,1,089,03,9,2,    , 
12,2010,10,1,11,173,01,1,105,03, ,2,    , 
12,2010,10,1,11,173,10,1,114,02,1,1,2423,1
12,2010,10,1,11,174,05,1,119,03,1,2,    , 
12,2010,11,2,11,184,05,1,036,03,3,2,    , 
12,2010,11,1,11,190,03,1,085,03, ,1,2131,1
12,2010,11,1,11,190,03,1,085,04,3,2,    , 
12,2010,11,1,11,192,04,1,106,02,2,1,5122,1
12,2010,11,1,11,192,04,2,107,02,2,2,    , 
12,2010,11,2,11,198,07,1,171,04,2,1,4112,1
12,2010,12,1,11,199,09,1,009,03,2,2,    , 
12,2010,12,2,11,203,09,1,049,05,2,2,    , 
12,2010,12,2,11,204,07,1,057,04,1,2,    , 
12,2010,12,2,11,207,02,1,082,01,2,1,9341,1
12,2010,12,2,11,207,03,1,083,03,9,1,7433,1
12,2010,12,2,11,207,03,1,083,04,9,2,    , 
12,2010,12,2,11,207,04,1,084,04,1,2,    , 
12,2010,12,2,11,207,06,1,086,01,2,1,9311,1
12,2010,12,1,11,209,06,1,107,01,2,2,    , 
12,2010,12,1,11,209,10,1,111,03, ,1,1223,1
12,2010,01,1,12,001,02,1,002,04,2,1,7215,1
12,2010,01,2,12,003,08,1,028,02,4,2,    , 
12,2010,01,2,12,004,06,1,036,02, ,2,    , 
12,2010,01,2,12,004,07,1,037,04, ,2,    , 
12,2010,01,2,12,004,09,1,039,04, ,2,    , 
12,2010,01,2,12,004,10,1,040,03, ,1,3231,1
12,2010,01,2,12,006,02,1,052,04,1,2,    , 
12,2010,01,2,12,006,03,1,053,03, ,2,    , 
12,2010,01,2,12,006,05,1,055,05, ,2,    , 
12,2010,01,2,12,012,10,1,110,03, ,2,    , 
12,2010,01,2,12,013,10,1,120,03,1,1,1226,1
12,2010,01,2,12,014,02,1,122,03, ,2,    , 
12,2010,01,2,12,015,05,1,136,03,3,1,9132,1
12,2010,02,2,12,019,10,1,030,03, ,2,    , 
12,2010,02,2,12,021,05,1,046,03,2,2,    , 
12,2010,02,2,12,021,08,1,049,05, ,2,    , 
12,2010,02,2,12,024,04,1,075,02,9,1,8324,1
12,2010,02,2,12,027,05,1,106,03,2,2,    , 
12,2010,02,1,12,029,02,1,124,03, ,1,5220,3
12,2010,03,1,12,033,01,1,001,03, ,2,    , 
12,2010,03,1,12,033,05,1,005,03,2,1,5122,1
12,2010,03,2,12,035,02,1,022,03, ,1,4113,1
12,2010,03,2,12,036,08,1,038,02, ,2,    , 
12,2010,03,2,12,038,01,1,051,01, ,1,7239,1
12,2010,03,2,12,038,01,1,051,02, ,1,6113,3
12,2010,03,2,12,039,09,1,069,03,6,2,    , 
12,2010,03,2,12,041,05,1,085,04, ,2,    , 
12,2010,03,2,12,044,04,1,114,02, ,1,7433,1
12,2010,03,2,12,044,04,1,114,03,2,1,7433,1
12,2010,03,2,12,046,06,1,136,03,9,1,3152,1
12,2010,03,2,12,047,07,1,147,03, ,2,    , 
12,2010,03,2,12,047,08,1,148,04, ,2,    , 
12,2010,04,1,12,049,03,1,003,03,9,2,    , 
12,2010,04,2,12,055,01,1,061,03,6,1,7433,1
12,2010,04,2,12,055,01,1,061,05, ,1,3231,1
12,2010,04,2,12,056,09,1,081,01,1,1,1224,1
12,2010,04,2,12,060,01,1,113,04,3,2,    , 
12,2010,04,2,12,060,09,1,121,01, ,1,8263,1
12,2010,04,2,12,061,01,1,123,02,5,1,8322,1
12,2010,04,2,12,062,08,1,140,03, ,1,9341,1
12,2010,04,2,12,063,06,1,148,01,2,1,9132,1
12,2010,05,2,12,068,09,1,039,02,6,1,9313,1
12,2010,05,2,12,070,07,1,057,03,3,2,    , 
12,2010,05,2,12,071,02,1,062,03,2,1,7215,1
12,2010,05,2,12,071,02,1,062,05,3,1,2332,1
