REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2010,01,1,11,001,08,1,008,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,01,1,11,001,09,1,009,04,10000,3,1,122,1,07,06,   , ,  ,  
11,2010,01,1,11,002,06,1,016,05,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,11,004,09,1,039,03,12000,3,1,719,1,03,06,854,1,03,06
11,2010,01,2,11,006,01,1,051,01,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,11,008,08,1,078,02,15000,2,1,712,2,05,06,   , ,  ,  
11,2010,01,1,11,010,05,1,095,07,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,019,04,1,004,02,40000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,021,05,1,025,04,08000,3,1,541,2,45,12,719,1,46,12
11,2010,02,2,11,021,09,1,029,04,12000,3,1,719,1,45,06,   , ,  ,  
11,2010,02,2,11,022,05,1,035,05,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,023,02,1,042,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,023,09,1,050,04,16000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,024,01,1,053,01,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,024,09,1,061,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,025,04,1,066,02,05000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,11,025,07,1,069,03,20000,3,1,541,2,18,03,   , ,  ,  
11,2010,02,2,11,025,10,1,072,04,10000,1,1,611,1,05,06,   , ,  ,  
11,2010,02,2,11,026,02,1,074,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,027,08,1,090,01,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,028,03,1,095,03,40000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,031,07,1,129,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,033,05,1,147,02,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,11,033,09,1,152,03,08000,3,1,452,1,43,06,   , ,  ,  
11,2010,03,1,11,037,05,1,005,02,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,11,040,01,1,031,03,20000,1,1,716,1,46,06,   , ,  ,  
11,2010,03,2,11,041,01,1,041,03,20000,3,1,852,2,01,36,618,1,44,24
11,2010,03,2,11,044,10,1,080,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,11,045,01,1,081,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,03,1,11,052,10,1,150,04,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,04,1,11,056,10,1,020,04,20000,2,1,974,2,46,06,   , ,  ,  
11,2010,04,1,11,056,10,1,020,05,20000,2,1,974,2,46,06,   , ,  ,  
11,2010,04,2,11,059,03,1,043,02,15000,3,1,719,2,46,08,   , ,  ,  
11,2010,04,2,11,059,09,1,049,04,20000,3,1,719,3,46,12,   , ,  ,  
11,2010,04,2,11,061,08,1,068,04,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,11,063,02,1,082,01,30000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,11,063,05,1,085,03,20000,1,1,718,2,24,12,   , ,  ,  
11,2010,04,2,11,063,09,1,089,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,3,11,064,05,1,095,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,1,11,066,02,1,102,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,1,11,069,08,1,128,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,05,2,11,077,06,1,046,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,05,2,11,078,05,1,055,03,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,05,1,11,080,08,1,078,03,17000,1,1,719,1,12,46,   , ,  ,  
11,2010,05,1,11,083,04,1,104,03,20000,1,1,719,2,46,12,   , ,  ,  
11,2010,05,1,11,083,08,1,108,01,50000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,05,1,11,085,01,1,121,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,093,07,1,017,04,07000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,093,07,1,017,05,07000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,094,07,1,027,04,30000,3,1,719,1,01,06,   , ,  ,  
11,2010,06,2,11,097,08,1,058,03,08000,1,1,611,2,46,06,   , ,  ,  
11,2010,06,2,11,098,08,1,068,02,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,101,01,1,091,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,106,07,1,147,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,106,08,1,148,03,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,06,1,11,107,06,1,156,04,12000,3,1,719,2,02,06,713,1,46,02
11,2010,07,1,11,112,07,1,028,01,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,07,2,11,113,08,1,039,03,40000,3,1,811,3,45,48,   , ,  ,  
11,2010,07,2,11,117,02,1,074,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,07,1,11,124,04,1,126,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,07,1,11,125,01,1,133,03,08000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,07,1,11,125,01,1,133,04,12000,3,1,931,1,45,04,   , ,  ,  
11,2010,08,2,11,131,03,1,023,05,15000,3,1,719,2,46,12,   , ,  ,  
11,2010,08,2,11,132,07,1,037,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,08,2,11,136,05,1,075,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,08,2,11,144,09,1,150,02,20000,3,1,122,2,03,06,   , ,  ,  
11,2010,09,2,11,149,01,1,031,02,25000,3,1,719,1,05,12,   , ,  ,  
11,2010,09,2,11,151,06,1,046,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,09,2,11,153,05,1,065,03,10000,1,1,861,1,29,06,   , ,  ,  
11,2010,09,2,11,155,09,1,089,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,09,1,11,157,10,1,114,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,09,1,11,158,08,1,122,01,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,10,2,11,167,03,1,046,04,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,10,2,11,168,05,1,059,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,10,2,11,171,05,1,089,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,10,1,11,173,01,1,105,03,99999,1,1,242,3,47,15,   , ,  ,  
11,2010,10,1,11,173,10,1,114,02,75000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,10,1,11,174,05,1,119,03,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,11,2,11,184,05,1,036,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,11,1,11,190,03,1,085,03,20000,1,1,719,2,45,12,   , ,  ,  
11,2010,11,1,11,190,03,1,085,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,11,1,11,192,04,1,106,02,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,11,1,11,192,04,2,107,02,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,11,2,11,198,07,1,171,04,18000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,12,1,11,199,09,1,009,03,06000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,203,09,1,049,05,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,204,07,1,057,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,207,02,1,082,01,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,207,03,1,083,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,207,03,1,083,04,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,207,04,1,084,04,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,12,2,11,207,06,1,086,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,12,1,11,209,06,1,107,01,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,12,1,11,209,10,1,111,03,35000,2,1,822,2,43,12,   , ,  ,  
11,2010,01,1,12,001,02,1,002,04,30000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,12,003,08,1,028,02,25000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,12,004,06,1,036,02,15000,3,1,719,2,46,24,854,1,43,12
11,2010,01,2,12,004,07,1,037,04,25000,1,1,829,1,46,04,   , ,  ,  
11,2010,01,2,12,004,09,1,039,04,12000,3,1,719,2,46,04,854,1,46,12
11,2010,01,2,12,004,10,1,040,03,10000,3,1,541,1,46,42,871,1,46,06
11,2010,01,2,12,006,02,1,052,04,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,12,006,03,1,053,03,08500,3,1,719,2,46,09,122,1,46,06
11,2010,01,2,12,006,05,1,055,05,20000,2,1,221,1,01,06,   , ,  ,  
11,2010,01,2,12,012,10,1,110,03,20000,2,1,931,1,46,12,   , ,  ,  
11,2010,01,2,12,013,10,1,120,03,30000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,01,2,12,014,02,1,122,03,15000,3,1,719,2,46,06,931,2,46,06
11,2010,01,2,12,015,05,1,136,03,25000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,12,019,10,1,030,03,10000,3,1,719,1,46,06,   , ,  ,  
11,2010,02,2,12,021,05,1,046,03,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,12,021,08,1,049,05,15000,2,1,872,1,46,06,   , ,  ,  
11,2010,02,2,12,024,04,1,075,02,35000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,02,2,12,027,05,1,106,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,02,1,12,029,02,1,124,03,25000,2,1,233,2,46,10,713,2,46,02
11,2010,03,1,12,033,01,1,001,03,30000,2,1,719,1,46,06,   , ,  ,  
11,2010,03,1,12,033,05,1,005,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,12,035,02,1,022,03,20000,1,1,719,2,45,06,   , ,  ,  
11,2010,03,2,12,036,08,1,038,02,18000,1,1,541,2,18,12,   , ,  ,  
11,2010,03,2,12,038,01,1,051,01,50000,1,1,229,3,03,60,   , ,  ,  
11,2010,03,2,12,038,01,1,051,02,20000,1,1,419,1,43,99,   , ,  ,  
11,2010,03,2,12,039,09,1,069,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,12,041,05,1,085,04,10000,1,1,719,2,46,06,813,2,46,12
11,2010,03,2,12,044,04,1,114,02,15000,1,1,963,2,46,36,   , ,  ,  
11,2010,03,2,12,044,04,1,114,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,12,046,06,1,136,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,03,2,12,047,07,1,147,03,30000,1,1,871,2,46,06,   , ,  ,  
11,2010,03,2,12,047,08,1,148,04,20000,1,1,229,2,45,12,   , ,  ,  
11,2010,04,1,12,049,03,1,003,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,12,055,01,1,061,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,12,055,01,1,061,05,07000,1,1,541,1,46,03,   , ,  ,  
11,2010,04,2,12,056,09,1,081,01,70000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,12,060,01,1,113,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,12,060,09,1,121,01,10000,1,1,122,2,46,06,   , ,  ,  
11,2010,04,2,12,061,01,1,123,02,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2010,04,2,12,062,08,1,140,03,15000,3,1,218,1,46,02,   , ,  ,  
11,2010,04,2,12,063,06,1,148,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2010,05,2,12,068,09,1,039,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2010,05,2,12,070,07,1,057,03,15000,1,2,   , ,  ,  ,   , ,  ,  
