YEAR,DISTRICT,AGE_CAT,GENDER,COUNT
2008,11,2,2,19068.939534543082
2008,11,1,1,3955.76832183313
2008,11,3,2,6390.099974473961
2008,12,2,2,21249.78983716127
2008,12,2,1,19070.490073678568
2008,12,3,1,5379.354730239782
2008,13,3,1,2503.6787340601595
2008,13,2,2,10132.90520759336
2008,13,2,1,11332.808041705344
2008,13,1,1,1446.7263546092645
2008,21,2,2,7790.4345128755795
2008,21,3,1,2354.5149410472536
2008,22,2,2,2709.032875899679
2008,23,3,1,3624.026373184693
2008,23,2,1,4522.567832609128
2008,23,2,2,5919.078005268484
2008,31,1,1,1710.9747682802652
2008,31,2,2,6917.1314070979315
2008,31,3,1,2528.1072447812994
2008,31,2,1,7927.818077885659
2008,32,1,2,1122.973898230495
2008,32,3,1,2025.915473892956
2008,32,2,1,4930.211879596534
2008,51,2,2,4414.80090103927
2008,51,2,1,3243.378076476359
2008,52,1,1,2380.0546989012178
2008,52,2,1,9204.400240630332
2008,52,1,2,1923.7905881321833
2008,52,3,1,2053.255659677996
2008,53,2,2,5989.807800260291
2008,53,2,1,5843.706844056587
2008,53,3,2,921.3878508173241
2008,53,3,1,880.1319838306478
2008,61,2,2,15653.001098241655
2008,61,3,2,4461.498376766263
2008,61,2,1,17224.46892220109
2008,62,1,1,951.63231357118
2008,62,2,2,7218.052300879119
2008,71,1,1,872.184180346333
2008,71,2,1,7071.122039715382
2008,72,2,1,2265.4877008152152
2008,72,2,2,2048.036867262741
2008,81,2,1,6998.629208287016
2008,81,2,2,9918.020943463322
2008,81,3,1,1945.0070527653752
2008,82,2,2,4600.537555123253
2008,82,3,2,736.6005813938859
2008,91,2,1,7563.291541858273
2008,91,3,1,2553.1307398545127
2008,91,2,2,9835.798617794911
2008,91,1,2,1173.692248559593
2008,92,2,1,8475.756744687125
2008,11,1,2,3590.551673015701
2008,11,2,1,13789.110600568189
2008,12,3,2,4149.919918582399
2008,12,1,2,3184.327903972433
2008,13,1,2,1485.4277605943507
2008,21,3,2,1669.01335782481
2008,21,2,1,7955.509051138899
2008,22,1,2,555.6544059817646
2008,22,2,1,1256.4028478506489
2008,31,3,2,1428.7615707581667
2008,31,1,2,435.371145094352
2008,61,1,1,2771.955998395509
2008,61,1,2,2803.477766757711
2008,62,3,1,1877.9280164116092
2008,62,1,2,2354.8717030674147
2008,71,2,2,6117.245319186818
2008,81,1,2,2724.165670227675
2008,81,1,1,1759.327181704134
2008,92,3,1,2056.04517647405
2008,92,3,2,3788.4119528468136
2008,51,3,1,858.6636994496262
2008,52,2,2,7348.146489723794
2008,52,3,2,1864.539903755191
2008,53,1,2,1351.9252860672002
2008,33,2,1,7155.81292304829
2008,33,2,2,5087.840396520122
2008,32,2,2,6072.7683696247705
2008,22,3,2,428.62399165453104
2008,22,3,1,357.633548078579
2008,23,1,2,320.201993989394
2008,23,1,1,1299.744313972952
2008,32,1,1,1946.7741717281533
2008,32,3,2,1355.320996982357
2008,33,3,1,1261.505455363401
2008,33,1,2,1117.593934723918
2008,51,1,2,1202.6315529654498
2008,51,3,2,826.9956967666981
2008,51,1,1,1031.664986230453
2008,53,1,1,1040.199434414106
2008,61,3,1,2726.144333028877
2008,62,3,2,1362.1464282246209
2008,62,2,1,5787.0389358996035
2008,71,1,2,1813.5816893503547
2008,71,3,1,1283.76615173603
2008,71,3,2,1473.6705693414328
2008,72,1,1,247.32458247234402
2008,72,3,1,931.9479269427551
2008,72,3,2,520.2068180132476
2008,82,2,1,4102.304599801107
2008,82,1,1,1757.155262797031
2008,82,3,1,811.446957081082
2008,91,3,2,2409.697077625555
2008,91,1,1,1058.867381824424
2008,92,2,2,6655.016046897361
2008,92,1,1,1327.256895484263
2008,92,1,2,1269.1902526703411
2008,11,3,1,2599.447384115013
2008,13,3,2,1553.8448238032568
2008,21,1,1,1310.3360331096512
2008,21,1,2,1162.421707862522
2008,33,1,1,1291.518604229739
2008,81,3,2,1040.857578802937
2008,12,1,1,1021.1425191670521
2008,82,1,2,1100.7762163339949
2008,33,3,2,717.394847108189
2008,23,3,2,229.819951154444
2008,22,1,1,185.55412452289903
2016,11,3,1,11346.42072711661
2016,11,3,2,7576.4313176953965
2016,11,2,1,4281.121075099156
2016,12,3,1,11131.363125687758
2016,12,3,2,9275.588354855478
2016,12,2,2,1919.646156440729
2016,13,2,2,949.576285021902
2016,13,2,1,3812.2200907282913
2016,21,3,1,6835.902857994208
2016,21,3,2,5986.278495973435
2016,21,2,1,5006.821843872373
2016,22,3,2,9584.135797190189
2016,22,2,1,4471.929397361977
