	MONTH	SECTOR	DISTRICT	PSU_NO	HH_NO	BLANK	RES_1	RES_2	RES_3	TIME_1	TIME_2	TIME_3	QQ4	QQ5	QQ6	P1_SERIAL_NO	P3_RELATION_SHIP_TO_HEAD_OF_HOUS	P4_SEX	P5_AGE	P6_ETHNIC_GROUP	P7_RELIGION	P8_MARRIAL_STATUS	P10_PALCE_OF_BIRTH	P11_EDUCATIONAL_ATTAINMENT_5YEAR	P12_ATTENDANCE_AT_SCHOOL	P13_DID_HAVE_VOC_TECH_TRAINING	TEMP_1	P15_CODE	P16_FOMAL_INFORMAL	P17_DURATION	P18_REASON_FOR_GOING_ABROAD	P19_YEAR_OF_LEAVING	P20_COUNTRY_OF_EMPLOYMENT	P22_OCCUPATION	P23_DURATION	Q2_DID_ANY_WORK	Q3_DID_NOT_ANY_WORK	Q4_PASTWEEK_LOOKING_FOR_JOB	Q5_TAKEN_A_JOB_LASTWEEK	Q6_COULDNOT_WORK_LASTWEEK	Q7_NOT_AVAILABLE_LOOKING_FOR_JOB	Q8_WHY_DID_NOT_WORK	Q9A_INDUSTRY	Q9B_OCCUPATION	Q9C_SECTOR	Q9D_STATUS	Q9E_PAID_DAILY	Q10_SHIFT	Q11Y_HOW_LONG_HAVE_CURRENT_EMOLO	Q11M_HOW_LONG_HAVE_CURRENT_EMOLO	Q12Y_HOW_LONG_WORKING_THIS_OCCUP	Q12M_HOW_LONG_WORKING_THIS_OCCUP	Q13_NUMBER_OF_HOURS_USUALLY_WORK	Q14_NUMBEROF_HOURS_ACTIALLY_WORK	Q16_ASK_REASON	Q17_SECONDARY_WORKED	Q18A_INDUSTRY	Q18B_OCCUPATION	Q18C_SECTOR	Q18D_STATUS	Q19Y_HOW_LONG_ENGEGED_THIS_ACTIV	Q19M_HOW_LONG_ENGEGED_THIS_ACTIV	Q20_NO_OF_HOURS_ACTUALLY_WORKED	Q21_ADDITIONAL_WORK	Q22_LOOKING_FOR_ALTERNATIVE_WORK	Q23_WORK_EXPECT_TO_GET	Q24_LOWEST_WAGE_WOULD_ACCEPT	Q25_AVAILABLE_FOR	Q26_SEARCH_OF_WORK	Q27_HOW_LONG_SEEKING	Q28_SEEKING_EMPLOYMENT	Q29_EVER_HAVE_A_JOB	Q30_WHEN_LAST_TIME_JOB	Q31_WHAT_KIND_OF_WORK	Q32_ASSISTANCE_DURING_PERIED_OF	Q33_DO_ANY_WORK_FOR_PAY_PROFIT	Q34_NO_WEEK_WORKED_IN_EACH_MONTH	Q36_AVAILABLE_FOR_WORK	Q37_LOOKING_FOR_WORK_IN_EACH	Q38_THIS_PERSON_WAS	Q39_MAIN_OCCUPATION	Q40A_MULTIPLY_WAGE_DAYS_WORKED	Q40B_ANY_PAYMENTS_IN_KIND	Q41_EMPLOYER_THE_SECONDARY_ACTIV	Q42A_EARNING_FROM_SECOND_JOB	Q42B_ANY_PAYMENTS_IN_KIND	INFLATION_FACTOR
14	1	2	1	178	141	3	1	 	 	20	  	  	  	  	1	3	3	1	38	1	1	2	1	10	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	116	9211	2	1	2	5	10	0	10	0	60	10	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	27	 	  	1	1	3500	1	2	     	 	310.579
15	1	2	1	178	147	6	1	 	 	20	  	  	  	  	1	6	3	1	29	1	1	1	1	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	123	6122	2	3	 	 	1	0	1	0	40	40	 	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	32	 	  	1	2	     	 	2	     	 	310.579
16	1	2	1	178	150	1	1	 	 	35	  	  	  	  	1	1	1	1	48	1	1	2	1	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	8331	4115	1	1	2	6	18	0	18	0	40	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	44	 	  	1	1	2360	2	2	     	 	310.579
17	1	2	1	195	160	1	1	 	 	45	  	  	  	  	1	1	1	1	40	1	1	1	7	13	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	2710	7213	2	3	 	 	1	0	1	0	50	5	4	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	38	 	  	1	2	     	 	2	     	 	333.0204
18	1	2	1	195	162	3	1	 	 	30	  	  	  	  	1	3	5	1	35	1	1	2	1	10	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	1	6114	8322	2	3	 	 	2	0	2	0	40	0	1	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	36	 	  	1	2	     	 	2	     	 	333.0204
19	1	2	1	195	163	1	1	 	 	20	  	  	  	  	1	1	1	1	46	1	1	2	9	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	3	8100	110	1	1	2	5	25	0	25	0	24	0	3	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	44	 	  	1	1	5470	2	2	     	 	333.0204
20	1	2	1	195	163	2	1	 	 	20	  	  	  	  	1	2	2	2	40	1	4	2	19	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	3	8310	2359	1	1	2	1	19	0	19	0	30	6	3	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	36	 	  	1	1	4500	2	2	     	 	333.0204
21	1	2	1	242	179	2	6	 	 	1	  	  	  	  	 	  	 	2	41	1	1	2	3	8	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	1	8591	5149	2	1	2	1	0	5	0	5	60	0	1	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	40	 	  	1	1	5000	2	2	     	 	144.6235
22	1	2	2	14	54	1	1	 	 	30	  	  	  	  	1	1	1	1	40	1	9	2	2	10	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	1	0	0	2	1	1	1	14	0	17	0	24	0	1	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	31	 	  	1	1	1000	2	2	     	 	438.2307
23	1	2	2	44	76	2	1	 	 	30	  	  	  	  	1	2	2	2	49	1	1	2	2	8	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	1	4001	9313	2	1	1	5	15	0	15	0	56	0	1	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	50	 	  	1	1	1500	2	2	     	 	251.446
24	1	2	2	263	123	1	1	 	 	40	  	  	  	  	1	1	1	1	60	1	4	2	2	13	5	1	  	  	 	  	 	    	  	    	  	 	1	 	 	 	 	4	8310	2310	2	1	2	1	20	5	20	5	10	0	4	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	34	 	  	1	1	2500	2	2	     	 	297.1806
25	1	2	3	147	103	1	4	 	 	1	  	  	  	  	 	  	 	1	60	1	1	2	3	10	5	1	  	  	 	  	 	    	  	    	  	 	1	 	 	 	 	9	2909	7332	2	3	 	 	12	0	12	0	30	0	9	1	1	1261	1	1	23	15	0	0	8	    	    	 	     	  	 	 	 	    	     	1	40	 	  	1	2	     	 	2	     	 	72.0629
26	1	2	5	107	37	1	1	 	 	20	  	  	  	  	1	1	1	1	70	1	1	2	5	0	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6111	2	3	 	 	50	0	50	0	60	0	5	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	28	 	  	1	2	     	 	2	     	 	131.9629
27	1	2	5	107	40	1	1	 	 	25	  	  	  	  	1	1	1	1	43	1	1	2	5	19	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	121	6111	2	1	1	1	15	0	15	0	50	0	9	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	20	1	30	2	1	500	2	2	     	 	131.9629
28	1	2	5	107	43	1	1	 	 	25	  	  	  	  	1	1	1	1	33	1	1	2	5	0	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	121	6111	2	1	1	1	10	0	10	0	50	0	9	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	20	1	25	2	1	     	2	2	     	 	131.9629
29	1	2	7	182	49	3	1	 	 	15	  	  	  	  	1	3	3	1	26	1	1	1	7	12	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	117	9211	2	3	 	 	4	0	4	0	48	0	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	46	 	  	1	2	     	 	2	     	 	281.7986
30	1	2	7	254	82	1	1	 	 	40	  	  	  	  	1	1	1	1	67	1	1	3	7	2	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6114	2	3	 	 	45	0	45	0	54	0	5	1	1	1461	1	4	23	8	0	1	2	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	2	     	 	2	     	 	156.2975
31	1	2	8	71	59	1	2	 	 	  	  	  	  	  	 	  	 	1	63	1	1	2	9	11	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	111	6111	2	3	 	 	4	2	4	2	20	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	28	 	  	1	2	     	 	2	     	 	167.0987
32	1	2	18	125	18	1	1	 	 	60	  	  	  	  	1	1	1	1	62	1	1	2	18	3	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6111	2	3	 	 	40	0	40	0	40	0	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	29	 	  	1	2	     	 	2	     	 	109.2402
33	1	2	18	125	18	2	1	 	 	60	  	  	  	  	1	2	2	2	53	1	1	2	18	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6111	2	4	 	 	20	0	20	0	36	0	5	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	27	 	  	1	2	     	 	2	     	 	109.2402
34	1	2	18	184	38	4	1	 	 	30	  	  	  	  	1	4	5	2	43	1	1	5	18	7	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	111	6111	2	4	 	 	25	0	25	0	12	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	16	2	  	3	2	     	 	2	     	 	223.8714
35	1	2	20	33	17	2	1	 	 	60	  	  	  	  	1	2	2	2	38	1	1	2	20	9	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	111	6111	2	4	 	 	18	0	18	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	13	1	23	2	2	     	 	2	     	 	367.8621
36	1	2	20	33	20	3	1	 	 	50	  	  	  	  	1	3	5	1	32	1	1	2	4	10	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	3	 	 	1	6	1	6	40	24	9	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	22	1	28	2	2	     	 	2	     	 	367.8621
37	1	2	20	33	23	1	1	 	 	35	  	  	  	  	1	1	1	1	57	1	1	2	20	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	1	111	6111	2	3	 	 	37	0	37	0	40	0	9	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	18	2	  	3	2	     	 	2	     	 	367.8621
38	1	2	21	9	11	5	1	 	 	55	  	  	  	  	1	5	3	1	18	1	1	1	21	9	1	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	111	6111	2	4	 	 	3	0	3	0	20	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	37	 	  	1	2	     	 	2	     	 	177.8963
39	1	2	21	9	11	6	1	 	 	55	  	  	  	  	1	6	3	1	16	1	1	1	21	9	1	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	9	111	6111	2	4	 	 	2	0	2	0	15	0	9	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	32	 	  	1	2	     	 	2	     	 	177.8963
40	1	2	21	36	21	1	1	 	 	30	  	  	  	  	1	1	1	1	32	1	1	2	6	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6111	2	3	 	 	1	0	1	0	40	0	5	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	38	 	  	1	2	     	 	2	     	 	88.7289
41	1	2	21	36	24	1	1	 	 	45	  	  	  	  	1	1	1	1	47	1	1	2	4	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	5	111	6111	2	3	 	 	28	0	28	0	40	0	5	2	    	    	 	 	  	  	  	1	1	    	    	 	     	  	 	 	 	    	     	1	30	 	  	1	2	     	 	2	     	 	88.7289
