REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q40SERNO,Q40A,Q40B,Q41,Q42,Q43,Q44
 9,2014,03,2,53,33,013,08,1,018,01,30,  ,1,1,10,1
 9,2014,03,2,53,33,013,08,1,018,02,15,  ,2, ,  , 
 9,2014,03,2,53,33,013,09,1,019,01,45,40, , ,  , 
 9,2014,03,2,53,33,013,10,1,020,01,42,42, , ,  , 
 9,2014,03,2,53,33,013,10,1,020,02,60,60, , ,  , 
 9,2014,03,2,91,03,020,01,1,081,01,40,40, , ,  , 
 9,2014,03,2,91,03,020,01,1,081,03,30,  ,2, ,  , 
 9,2014,03,2,91,03,020,01,1,081,04,60,60, , ,  , 
 9,2014,03,2,91,03,020,02,1,082,02,60,60, , ,  , 
 9,2014,03,2,91,03,020,03,1,083,01,40,40, , ,  , 
 9,2014,03,2,91,03,020,04,1,084,01,50,50, , ,  , 
 9,2014,03,2,91,03,020,06,1,086,01,50,50, , ,  , 
 9,2014,03,2,91,03,020,06,1,086,03,50,50, , ,  , 
 9,2014,03,2,91,03,020,06,1,086,04,50,50, , ,  , 
 9,2014,03,2,91,03,020,07,1,087,02,40,40, , ,  , 
 9,2014,03,2,91,03,020,07,1,087,03,40,40, , ,  , 
 9,2014,03,2,91,03,020,08,1,088,01,70,70, , ,  , 
 9,2014,03,2,91,03,020,09,1,089,01,40,40, , ,  , 
 9,2014,03,2,91,03,020,09,1,089,02,25,  ,2, ,  , 
 9,2014,03,2,91,03,020,10,1,090,03,70,70, , ,  , 
 9,2014,03,2,91,03,020,10,1,090,04,50,50, , ,  , 
 9,2014,03,2,91,09,021,01,1,001,03,40,40, , ,  , 
 9,2014,03,2,91,09,021,01,1,001,04,56,56, , ,  , 
 9,2014,03,2,91,09,021,02,1,002,03,40,40, , ,  , 
 9,2014,03,2,91,09,021,02,1,002,04,48,48, , ,  , 
 9,2014,03,2,91,09,021,03,1,003,03,40,40, , ,  , 
 9,2014,03,2,91,09,021,03,1,003,04,40,40, , ,  , 
 9,2014,03,2,91,09,021,04,1,004,01,60,18, , ,  , 
 9,2014,03,2,91,09,021,05,1,005,01,84,84, , ,  , 
 9,2014,03,2,91,09,021,06,1,006,01,40,40, , ,  , 
 9,2014,03,2,91,09,021,06,1,006,02,35,35, , ,  , 
 9,2014,03,2,91,09,021,07,1,007,01,25,  ,2, ,  , 
