REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q7SERNO,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
 4,2014,03,2,91,30,025,01,1,071,03,6114,01271,4, , , , , 
 4,2014,03,2,91,30,025,02,1,072,01,4323,84130,1,1,1,1,1,2
 4,2014,03,2,91,30,025,02,1,072,02,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,03,1,073,01,7116,41001,1,4, , , , 
 4,2014,03,2,91,30,025,04,1,074,02,9212,01291,1,2,2,2,2,3
 4,2014,03,2,91,30,025,04,1,074,03,6115,01291,3, , , , , 
 4,2014,03,2,91,30,025,04,1,074,04,9311,08991,1,4, , , , 
 4,2014,03,2,91,30,025,04,1,074,05,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,05,1,075,01,9311,08991,1,4, , , , 
 4,2014,03,2,91,30,025,05,1,075,02,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,06,1,076,01,9311,08991,1,4, , , , 
 4,2014,03,2,91,30,025,06,1,076,02,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,07,1,077,01,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,07,1,077,02,6114,01271,4, , , , , 
 4,2014,03,2,91,30,025,07,1,077,03,8331,84130,1,1,1,1,1,2
 4,2014,03,2,91,30,025,07,1,077,04,5211,47113,1,2,2,2,2,3
 4,2014,03,2,91,30,025,07,1,077,05,9322,14109,1,1,1,1,1,3
 4,2014,03,2,91,30,025,07,1,077,06,9322,14109,1,1,1,1,1,3
 4,2014,03,2,91,30,025,08,1,078,01,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,08,1,078,02,6114,01271,4, , , , , 
 4,2014,03,2,91,30,025,08,1,078,05,9311,08991,1,4, , , , 
 4,2014,03,2,91,30,025,09,1,079,01,9311,08991,1,4, , , , 
 4,2014,03,2,91,30,025,09,1,079,02,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,10,1,080,01,6115,01291,1,2,2,2,2,3
 4,2014,03,2,91,30,025,10,1,080,03,4321,14109,1,1,1,1,1,3
 4,2014,03,2,91,30,025,10,1,080,04,9311,08991,1,4, , , , 
 4,2014,03,2,91,36,026,01,1,041,01,1221,47215,3, , , , , 
 4,2014,03,2,91,36,026,01,1,041,02,5211,47215,4, , , , , 
 4,2014,03,2,91,36,026,02,1,042,01,9311,08991,1,2,2,2,2,3
 4,2014,03,2,91,36,026,02,1,042,02,9322,10791,1,1,1,2,2,3
 4,2014,03,2,91,36,026,03,1,043,03,3323,46693,1,2,2,2,2,3
 4,2014,03,2,91,36,026,06,1,046,01,7231,25113,3, , , , , 
 4,2014,03,2,91,36,026,07,1,047,01,8111,08991,2, , , , , 
 4,2014,03,2,91,36,026,08,1,048,01,8111,08991,2, , , , , 
 4,2014,03,2,91,36,026,09,1,049,01,6111,01132,3, , , , , 
 4,2014,03,2,91,36,026,09,1,049,02,6111,01132,4, , , , , 
 4,2014,03,2,91,36,026,09,1,049,03,5211,47714,1,1,1,1,1,3
 4,2014,03,2,91,42,027,01,1,091,01,5212,56106,3, , , , , 
 4,2014,03,2,91,42,027,01,1,091,03,2341,85102,1,1,1,1,1,1
 4,2014,03,2,91,42,027,01,1,091,04,7111,41002,3, , , , , 
 4,2014,03,2,91,42,027,03,1,093,01,1221,46498,3, , , , , 
 4,2014,03,2,91,42,027,05,1,095,01,8323,49222,3, , , , , 
 4,2014,03,2,91,42,027,06,1,096,01,9212,01271,1,2,2,2,2,3
 4,2014,03,2,91,42,027,07,1,097,01,3313,01271,1,1,1,1,1,3
 4,2014,03,2,91,42,027,08,1,098,01,1345,84120,1,1,1,1,1,1
 4,2014,03,2,91,42,027,09,1,099,01,4110,84110,1,1,1,1,1,1
 4,2014,03,2,91,48,028,01,1,011,01,4312,64929,1,1,1,1,1,3
 4,2014,03,2,91,48,028,01,1,011,02,3313,84110,1,1,1,1,1,1
 4,2014,03,2,91,48,028,02,1,012,01,8111,08991,3, , , , , 
 4,2014,03,2,91,48,028,02,1,012,02,2222,84120,1,1,1,1,1,1
 4,2014,03,2,91,48,028,03,1,013,01,7116,41001,1,4, , , , 
 4,2014,03,2,91,48,028,04,1,014,01,9311,08991,1,2,2,2,2,3
 4,2014,03,2,91,48,028,06,1,016,01,7116,41001,1,4, , , , 
 4,2014,03,2,91,48,028,06,1,016,03,7115,31001,1,4, , , , 
 4,2014,03,2,91,48,028,07,1,017,01,6117,01282,3, , , , , 
 4,2014,03,2,91,48,028,07,1,017,02,8323,49222,3, , , , , 
 4,2014,03,2,91,48,028,07,1,017,03,8332,49232,1,4, , , , 
 4,2014,03,2,91,48,028,09,1,019,01,7512,10799,3, , , , , 
 4,2014,03,2,91,51,029,01,1,061,01,6117,01282,3, , , , , 
 4,2014,03,2,91,51,029,02,1,062,01,6116,01261,3, , , , , 
 4,2014,03,2,91,51,029,03,1,063,01,2330,84120,1,1,1,1,1,1
 4,2014,03,2,91,51,029,03,1,063,02,2341,84120,1,1,1,1,1,1
 4,2014,03,2,91,51,029,04,1,064,02,6117,01282,3, , , , , 
 4,2014,03,2,91,51,029,04,1,064,03,6117,01282,4, , , , , 
 4,2014,03,2,91,51,029,05,1,065,01,9629,01611,1,2,2,2,2,3
 4,2014,03,2,91,51,029,05,1,065,03,9629,01611,1,2,2,2,2,3
 4,2014,03,2,91,51,029,06,1,066,01,7116,41001,1,2,2,2,2,3
 4,2014,03,2,91,51,029,06,1,066,02,6117,01282,3, , , , , 
 4,2014,03,2,91,51,029,08,1,068,03,9211,01611,1,2,3,2,2,3
 4,2014,03,2,62,03,012,01,1,001,01,6224,03112,3, , , , , 
 4,2014,03,2,62,03,012,01,1,001,02,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,02,1,002,01,9322,01153,1,4, , , , 
 4,2014,03,2,62,03,012,02,1,002,02,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,02,1,002,03,5151,55101,1,2,2,2,2,3
 4,2014,03,2,62,03,012,03,1,003,01,6225,03111,1,2,2,2,2,3
 4,2014,03,2,62,03,012,03,1,003,02,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,03,1,003,03,3313,64910,1,1,1,2,1,3
 4,2014,03,2,62,03,012,03,1,003,04,5162,46492,1,2,2,2,2,3
 4,2014,03,2,62,03,012,05,1,005,02,6225,03111,1,2,2,2,2,3
 4,2014,03,2,62,03,012,07,1,007,01,6111,01133,3, , , , , 
 4,2014,03,2,62,03,012,07,1,007,02,5162,01133,4, , , , , 
 4,2014,03,2,62,03,012,08,1,008,01,9322,01153,1,4, , , , 
 4,2014,03,2,62,03,012,08,1,008,02,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,08,1,008,03,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,09,1,009,01,9322,01133,1,4, , , , 
 4,2014,03,2,62,03,012,10,1,010,02,6111,01133,3, , , , , 
 4,2014,03,2,62,03,012,10,1,010,03,6111,01133,3, , , , , 
 4,2014,03,2,62,15,013,01,1,011,01,7512,10714,1,2,2,2,2,3
 4,2014,03,2,62,15,013,02,1,012,01,7512,10714,3, , , , , 
 4,2014,03,2,62,15,013,02,1,012,07,7514,10401,1,2,2,2,2,3
 4,2014,03,2,62,15,013,03,1,013,01,6111,47211,3, , , , , 
 4,2014,03,2,62,15,013,03,1,013,02,2330,85211,1,1,1,1,1,1
 4,2014,03,2,62,15,013,04,1,014,01,2341,85211,1,1,1,1,1,1
 4,2014,03,2,62,15,013,05,1,015,02,2330,85211,1,1,1,1,1,1
 4,2014,03,2,62,15,013,07,1,017,01,6223,03112,1,2,2,2,2,3
 4,2014,03,2,62,15,013,08,1,018,01,9322,84130,1,1,1,1,1,1
 4,2014,03,2,62,15,013,09,1,019,01,7514,10401,1,2,2,2,2,3
 4,2014,03,2,62,15,013,10,1,020,01,3522,10102,1,1,1,1,1,3
 4,2014,03,2,62,24,014,01,1,021,01,6116,01222,3, , , , , 
 4,2014,03,2,62,24,014,01,1,021,02,9211,01261,1,2,2,2,2,3
 4,2014,03,2,62,24,014,04,1,024,01,2341,85102,1,1,1,1,1,1
 4,2014,03,2,62,24,014,04,1,024,02,7313,23923,3, , , , , 
 4,2014,03,2,62,24,014,05,1,025,01,6121,10504,3, , , , , 
 4,2014,03,2,62,24,014,05,1,025,02,9211,10504,4, , , , , 
 4,2014,03,2,62,24,014,06,1,026,01,6121,10504,3, , , , , 
 4,2014,03,2,62,24,014,06,1,026,03,7323,58191,2, , , , , 
 4,2014,03,2,62,24,014,07,1,027,01,2149,42101,1,1,1,1,1,3
 4,2014,03,2,62,24,014,08,1,028,01,7318,13943,3, , , , , 
 4,2014,03,2,62,24,014,08,1,028,02,7318,13943,4, , , , , 
 4,2014,03,2,62,24,014,10,1,030,01,6121,10504,3, , , , , 
 4,2014,03,2,62,36,015,01,1,031,01,7116,41001,1,2,2,2,2,3
 4,2014,03,2,62,36,015,02,1,032,01,7115,31001,1,2,2,2,2,3
 4,2014,03,2,62,36,015,02,1,032,04,7531,14109,1,1,1,1,1,3
 4,2014,03,2,62,36,015,03,1,033,01,8332,01261,1,2,2,2,2,3
 4,2014,03,2,62,36,015,03,1,033,02,7318,13954,1,2,2,2,2,3
 4,2014,03,2,62,36,015,03,1,033,05,7318,13954,1,2,2,2,2,3
 4,2014,03,2,62,36,015,04,1,034,03,9112,86103,1,1,1,1,1,1
 4,2014,03,2,62,36,015,04,1,034,04,9112,86103,1,1,1,1,1,1
 4,2014,03,2,62,36,015,05,1,035,01,7316,13932,1,3,2,2,2,3
 4,2014,03,2,62,36,015,07,1,037,01,7412,35109,3, , , , , 
 4,2014,03,2,62,36,015,07,1,037,02,7316,13955,3, , , , , 
 4,2014,03,2,62,36,015,07,1,037,03,3322,84130,1,3,1,1,1,1
 4,2014,03,2,62,36,015,07,1,037,04,8332,49232,1,3,2,2,1,3
 4,2014,03,2,62,36,015,08,1,038,01,7116,41001,1,2,2,2,2,3
 4,2014,03,2,62,36,015,08,1,038,02,7531,14109,1,2,1,2,2,3
 4,2014,03,2,62,36,015,10,1,040,01,9313,41001,1,3,2,2,2,3
 4,2014,03,2,62,36,015,10,1,040,03,9322,13955,3, , , , , 
 4,2014,03,2,62,42,016,01,1,041,01,6113,01120,3, , , , , 
 4,2014,03,2,62,42,016,01,1,041,03,2330,84120,1,1,1,1,1,1
 4,2014,03,2,62,42,016,03,1,043,02,5412,84230,1,1,1,1,1,1
 4,2014,03,2,62,42,016,04,1,044,01,9211,01261,1,2,2,2,2,3
 4,2014,03,2,62,42,016,05,1,045,01,3360,01462,1,2,3,2,2,3
 4,2014,03,2,62,42,016,06,1,046,01,6113,01120,3, , , , , 
 4,2014,03,2,62,42,016,06,1,046,03,6116,46202,4, , , , , 
 4,2014,03,2,62,42,016,06,1,046,04,6121,01413,4, , , , , 
 4,2014,03,2,62,42,016,08,1,048,02,6113,01120,4, , , , , 
 4,2014,03,2,62,42,016,08,1,048,03,6121,01413,4, , , , , 
 4,2014,03,2,62,42,016,08,1,048,04,6116,01261,4, , , , , 
 4,2014,03,2,62,42,016,09,1,049,01,3142,84130,1,1,1,1,1,1
 4,2014,03,2,62,42,016,09,1,049,02,3360,84110,1,1,1,1,1,1
 4,2014,03,2,62,42,016,10,1,050,01,3333,41001,2, , , , , 
 4,2014,03,2,62,48,017,02,1,052,01,7511,47214,3, , , , , 
 4,2014,03,2,62,48,017,02,1,052,02,7313,23921,1,3,3,2,2,3
 4,2014,03,2,62,48,017,03,1,053,01,9211,01261,1,4, , , , 
 4,2014,03,2,62,48,017,03,1,053,03,2330,85211,1,2,2,2,2,1
 4,2014,03,2,62,48,017,03,1,053,04,9623,84130,1,1,1,1,1,2
 4,2014,03,2,62,48,017,05,1,055,02,7116,41001,1,4, , , , 
 4,2014,03,2,62,48,017,05,1,055,03,7116,41001,1,4, , , , 
 4,2014,03,2,62,48,017,06,1,056,01,7115,16109,1,4, , , , 
 4,2014,03,2,62,48,017,06,1,056,02,7514,01261,1,2,2,2,2,3
 4,2014,03,2,62,48,017,06,1,056,03,7531,14109,1,2,3,2,2,3
 4,2014,03,2,62,48,017,07,1,057,01,8332,49232,1,4, , , , 
 4,2014,03,2,62,48,017,08,1,058,01,5211,32909,3, , , , , 
 4,2014,03,2,62,48,017,09,1,059,01,8332,49232,1,2,2,2,2,3
 4,2014,03,2,62,48,017,09,1,059,03,8332,49232,3, , , , , 
 4,2014,03,2,62,48,017,10,1,060,01,7313,23922,1,4, , , , 
 4,2014,03,2,72,03,009,01,2,002,01,7521,16291,1,3,2,2,2,3
 4,2014,03,2,72,03,009,02,1,003,01,7116,41001,1,3,2,2,2,3
 4,2014,03,2,72,03,009,07,1,008,01,2330,85212,3, , , , , 
 4,2014,03,2,72,03,009,07,1,008,02,2342,85101,2, , , , , 
 4,2014,03,2,72,03,009,08,1,009,01,5211,47211,1,3,2,2,2,3
 4,2014,03,2,72,03,009,08,1,009,02,7313,23923,3, , , , , 
 4,2014,03,2,72,03,009,06,1,007,01,5211,47113,3, , , , , 
 4,2014,03,2,72,03,009,09,1,010,01,9629,46201,1,3,2,2,2,3
 4,2014,03,2,72,03,009,10,1,011,01,9629,46201,1,3,2,2,2,3
 4,2014,03,2,72,06,010,01,1,012,01,5211,47113,3, , , , , 
 4,2014,03,2,72,06,010,02,1,013,01,6113,01120,3, , , , , 
 4,2014,03,2,72,06,010,02,1,013,02,5211,47821,3, , , , , 
 4,2014,03,2,72,06,010,02,1,013,03,6113,01120,4, , , , , 
 4,2014,03,2,72,06,010,03,1,014,01,5211,47211,3, , , , , 
 4,2014,03,2,72,06,010,03,1,014,02,5211,47211,4, , , , , 
 4,2014,03,2,72,06,010,05,1,016,01,9112,86101,1,1,1,1,1,1
 4,2014,03,2,72,06,010,05,1,016,03,6113,01120,3, , , , , 
 4,2014,03,2,72,06,010,08,1,019,01,7131,41003,1,4, , , , 
 4,2014,03,2,72,06,010,09,1,020,02,6113,01120,3, , , , , 
