REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q47SERNO,Q47,Q48,Q49A,Q49B,Q49C,Q50
11,2014,03,2,91,03,020,01,1,081,02,2, , , , , 
11,2014,03,2,91,03,020,02,1,082,01,2, , , , , 
11,2014,03,2,91,03,020,02,1,082,03,2, , , , , 
11,2014,03,2,91,03,020,03,1,083,02,2, , , , , 
11,2014,03,2,91,03,020,04,1,084,02,2, , , , , 
11,2014,03,2,91,03,020,06,1,086,02,2, , , , , 
11,2014,03,2,91,03,020,07,1,087,01,2, , , , , 
11,2014,03,2,91,03,020,08,1,088,02,2, , , , , 
11,2014,03,2,91,03,020,08,1,088,03,2, , , , , 
11,2014,03,2,91,03,020,08,1,088,04,2, , , , , 
11,2014,03,2,91,03,020,09,1,089,03,2, , , , , 
11,2014,03,2,91,03,020,10,1,090,01,2, , , , , 
11,2014,03,2,91,03,020,10,1,090,02,2, , , , , 
11,2014,03,2,91,09,021,01,1,001,01,2, , , , , 
11,2014,03,2,91,09,021,01,1,001,02,2, , , , , 
11,2014,03,2,91,09,021,02,1,002,01,2, , , , , 
11,2014,03,2,91,09,021,02,1,002,02,2, , , , , 
11,2014,03,2,91,09,021,03,1,003,01,2, , , , , 
11,2014,03,2,91,09,021,03,1,003,02,2, , , , , 
11,2014,03,2,91,09,021,03,1,003,05,2, , , , , 
11,2014,03,2,91,09,021,04,1,004,02,2, , , , , 
11,2014,03,2,91,09,021,04,1,004,06,2, , , , , 
11,2014,03,2,91,09,021,04,1,004,07,2, , , , , 
11,2014,03,2,91,09,021,05,1,005,02,2, , , , , 
11,2014,03,2,91,09,021,06,1,006,03,2, , , , , 
11,2014,03,2,91,09,021,06,1,006,04,2, , , , , 
11,2014,03,2,91,09,021,08,1,008,02,2, , , , , 
11,2014,03,2,91,09,021,10,1,010,02,2, , , , , 
11,2014,03,2,91,12,022,02,1,022,02,2, , , , , 
11,2014,03,2,91,12,022,03,1,023,01,2, , , , , 
11,2014,03,2,91,12,022,03,1,023,03,2, , , , , 
11,2014,03,2,91,12,022,04,1,024,02,2, , , , , 
11,2014,03,2,91,12,022,06,1,026,02,2, , , , , 
11,2014,03,2,91,12,022,07,1,027,02,2, , , , , 
11,2014,03,2,91,12,022,08,1,028,01,2, , , , , 
11,2014,03,2,91,12,022,08,1,028,02,2, , , , , 
11,2014,03,2,91,12,022,10,1,030,02,2, , , , , 
11,2014,03,2,91,12,022,10,1,030,03,2, , , , , 
11,2014,03,2,91,18,023,04,1,034,04,2, , , , , 
11,2014,03,2,91,18,023,05,1,035,03,2, , , , , 
11,2014,03,2,91,18,023,07,1,037,02,2, , , , , 
11,2014,03,2,91,18,023,07,1,037,04,2, , , , , 
11,2014,03,2,91,18,023,08,1,038,02,1,2, , , ,6
11,2014,03,2,91,18,023,09,1,039,02,2, , , , , 
11,2014,03,2,91,18,023,10,1,040,03,2, , , , , 
11,2014,03,2,91,24,024,02,1,052,02,2, , , , , 
11,2014,03,2,91,24,024,02,1,052,03,1,1,1,3,4, 
11,2014,03,2,91,24,024,08,1,058,01,2, , , , , 
11,2014,03,2,91,24,024,08,1,058,02,2, , , , , 
11,2014,03,2,91,24,024,08,1,058,03,2, , , , , 
11,2014,03,2,91,24,024,09,1,059,01,2, , , , , 
11,2014,03,2,91,24,024,10,1,060,01,1,1,5, , , 
11,2014,03,2,91,24,024,10,1,060,04,2, , , , , 
11,2014,03,2,91,30,025,01,1,071,04,2, , , , , 
11,2014,03,2,91,30,025,02,1,072,03,2, , , , , 
11,2014,03,2,91,30,025,03,1,073,02,2, , , , , 
11,2014,03,2,91,30,025,04,1,074,01,2, , , , , 
11,2014,03,2,91,30,025,06,1,076,03,1,2, , , ,1
11,2014,03,2,91,30,025,06,1,076,04,2, , , , , 
11,2014,03,2,91,30,025,07,1,077,07,2, , , , , 
11,2014,03,2,91,30,025,08,1,078,03,1,2, , , ,9
11,2014,03,2,91,30,025,08,1,078,04,2, , , , , 
11,2014,03,2,91,30,025,10,1,080,02,2, , , , , 
11,2014,03,2,91,30,025,10,1,080,05,2, , , , , 
11,2014,03,2,91,36,026,01,1,041,03,2, , , , , 
11,2014,03,2,91,36,026,02,1,042,03,2, , , , , 
11,2014,03,2,91,36,026,02,1,042,06,2, , , , , 
11,2014,03,2,91,36,026,03,1,043,01,2, , , , , 
11,2014,03,2,91,36,026,03,1,043,02,2, , , , , 
11,2014,03,2,91,36,026,04,1,044,01,2, , , , , 
11,2014,03,2,91,36,026,04,1,044,02,2, , , , , 
11,2014,03,2,91,36,026,06,1,046,02,2, , , , , 
11,2014,03,2,91,36,026,07,1,047,02,2, , , , , 
11,2014,03,2,91,36,026,07,1,047,03,2, , , , , 
11,2014,03,2,91,36,026,08,1,048,02,2, , , , , 
11,2014,03,2,91,36,026,10,1,050,01,1,2, , , ,9
11,2014,03,2,91,42,027,01,1,091,02,2, , , , , 
11,2014,03,2,91,42,027,01,1,091,08,2, , , , , 
11,2014,03,2,91,42,027,03,1,093,02,2, , , , , 
11,2014,03,2,91,42,027,03,1,093,03,1,1,4,5, , 
11,2014,03,2,91,42,027,03,1,093,04,1,2, , , ,2
11,2014,03,2,91,42,027,03,1,093,05,1,1,1,3,4, 
11,2014,03,2,91,42,027,05,1,095,02,2, , , , , 
11,2014,03,2,91,42,027,07,1,097,02,2, , , , , 
11,2014,03,2,91,42,027,08,1,098,02,2, , , , , 
11,2014,03,2,91,42,027,08,1,098,03,2, , , , , 
11,2014,03,2,91,42,027,08,1,098,04,2, , , , , 
11,2014,03,2,91,42,027,09,1,099,03,2, , , , , 
11,2014,03,2,91,48,028,02,1,012,03,2, , , , , 
11,2014,03,2,91,48,028,03,1,013,02,2, , , , , 
11,2014,03,2,91,48,028,03,1,013,03,2, , , , , 
11,2014,03,2,91,48,028,04,1,014,02,2, , , , , 
11,2014,03,2,91,48,028,05,1,015,01,2, , , , , 
11,2014,03,2,91,48,028,06,1,016,02,2, , , , , 
11,2014,03,2,91,48,028,09,1,019,02,2, , , , , 
11,2014,03,2,91,51,029,01,1,061,02,2, , , , , 
11,2014,03,2,91,51,029,01,1,061,03,1,1,1,2,3, 
11,2014,03,2,91,51,029,02,1,062,02,2, , , , , 
11,2014,03,2,91,51,029,03,1,063,03,2, , , , , 
11,2014,03,2,91,51,029,04,1,064,01,2, , , , , 
11,2014,03,2,91,51,029,05,1,065,02,2, , , , , 
11,2014,03,2,91,51,029,05,1,065,04,1,1,2,3,4, 
11,2014,03,2,91,51,029,05,1,065,05,1,1,2,3,4, 
11,2014,03,2,91,51,029,05,1,065,06,2, , , , , 
11,2014,03,2,91,51,029,06,1,066,03,2, , , , , 
11,2014,03,2,91,51,029,06,1,066,04,2, , , , , 
11,2014,03,2,91,51,029,08,1,068,01,2, , , , , 
11,2014,03,2,91,51,029,08,1,068,02,2, , , , , 
11,2014,03,2,91,51,029,08,1,068,04,2, , , , , 
11,2014,03,2,62,03,012,01,1,001,03,2, , , , , 
11,2014,03,2,62,03,012,01,1,001,06,2, , , , , 
11,2014,03,2,62,03,012,02,1,002,04,2, , , , , 
11,2014,03,2,62,03,012,03,1,003,05,2, , , , , 
11,2014,03,2,62,03,012,04,1,004,01,2, , , , , 
11,2014,03,2,62,03,012,04,1,004,02,2, , , , , 
11,2014,03,2,62,03,012,05,1,005,01,2, , , , , 
11,2014,03,2,62,03,012,05,1,005,03,2, , , , , 
11,2014,03,2,62,03,012,07,1,007,03,2, , , , , 
11,2014,03,2,62,03,012,10,1,010,01,2, , , , , 
11,2014,03,2,62,03,012,10,1,010,04,2, , , , , 
11,2014,03,2,62,15,013,01,1,011,02,2, , , , , 
11,2014,03,2,62,15,013,02,1,012,02,2, , , , , 
11,2014,03,2,62,15,013,02,1,012,03,2, , , , , 
11,2014,03,2,62,15,013,02,1,012,06,2, , , , , 
11,2014,03,2,62,15,013,05,1,015,01,2, , , , , 
11,2014,03,2,62,15,013,07,1,017,02,2, , , , , 
11,2014,03,2,62,15,013,07,1,017,03,2, , , , , 
11,2014,03,2,62,15,013,07,1,017,04,2, , , , , 
11,2014,03,2,62,15,013,08,1,018,02,2, , , , , 
11,2014,03,2,62,15,013,08,1,018,03,2, , , , , 
11,2014,03,2,62,15,013,08,1,018,04,2, , , , , 
11,2014,03,2,62,15,013,08,1,018,07,2, , , , , 
11,2014,03,2,62,15,013,09,1,019,02,2, , , , , 
11,2014,03,2,62,15,013,09,1,019,03,2, , , , , 
11,2014,03,2,62,15,013,09,1,019,04,2, , , , , 
11,2014,03,2,62,15,013,10,1,020,02,2, , , , , 
11,2014,03,2,62,15,013,10,1,020,03,2, , , , , 
11,2014,03,2,62,15,013,10,1,020,04,2, , , , , 
11,2014,03,2,62,24,014,02,1,022,01,2, , , , , 
11,2014,03,2,62,24,014,03,1,023,01,2, , , , , 
11,2014,03,2,62,24,014,04,1,024,03,2, , , , , 
11,2014,03,2,62,24,014,05,1,025,03,2, , , , , 
11,2014,03,2,62,24,014,06,1,026,02,2, , , , , 
11,2014,03,2,62,24,014,07,1,027,02,2, , , , , 
11,2014,03,2,62,24,014,08,1,028,03,2, , , , , 
11,2014,03,2,62,24,014,09,1,029,01,1,2, , , ,9
11,2014,03,2,62,24,014,10,1,030,02,2, , , , , 
11,2014,03,2,62,36,015,01,1,031,02,2, , , , , 
11,2014,03,2,62,36,015,02,1,032,02,2, , , , , 
11,2014,03,2,62,36,015,02,1,032,03,2, , , , , 
11,2014,03,2,62,36,015,03,1,033,03,2, , , , , 
11,2014,03,2,62,36,015,04,1,034,01,2, , , , , 
11,2014,03,2,62,36,015,04,1,034,02,2, , , , , 
11,2014,03,2,62,36,015,05,1,035,02,2, , , , , 
11,2014,03,2,62,36,015,09,1,039,01,2, , , , , 
11,2014,03,2,62,36,015,10,1,040,02,2, , , , , 
11,2014,03,2,62,42,016,01,1,041,02,2, , , , , 
11,2014,03,2,62,42,016,01,1,041,04,2, , , , , 
11,2014,03,2,62,42,016,02,1,042,01,2, , , , , 
11,2014,03,2,62,42,016,02,1,042,02,1,1,4, , , 
11,2014,03,2,62,42,016,03,1,043,01,2, , , , , 
11,2014,03,2,62,42,016,03,1,043,03,2, , , , , 
11,2014,03,2,62,42,016,04,1,044,02,2, , , , , 
11,2014,03,2,62,42,016,05,1,045,02,2, , , , , 
11,2014,03,2,62,42,016,05,1,045,03,2, , , , , 
11,2014,03,2,62,42,016,05,1,045,04,2, , , , , 
11,2014,03,2,62,42,016,05,1,045,05,2, , , , , 
11,2014,03,2,62,42,016,06,1,046,02,2, , , , , 
11,2014,03,2,62,42,016,06,1,046,06,2, , , , , 
11,2014,03,2,62,42,016,08,1,048,01,2, , , , , 
11,2014,03,2,62,42,016,10,1,050,02,2, , , , , 
11,2014,03,2,62,42,016,10,1,050,03,2, , , , , 
11,2014,03,2,62,48,017,03,1,053,02,2, , , , , 
11,2014,03,2,62,48,017,04,1,054,01,2, , , , , 
11,2014,03,2,62,48,017,05,1,055,01,2, , , , , 
11,2014,03,2,62,48,017,05,1,055,04,2, , , , , 
11,2014,03,2,62,48,017,07,1,057,02,2, , , , , 
11,2014,03,2,62,48,017,08,1,058,02,2, , , , , 
11,2014,03,2,62,48,017,08,1,058,03,2, , , , , 
11,2014,03,2,62,48,017,09,1,059,02,2, , , , , 
11,2014,03,2,62,48,017,10,1,060,02,2, , , , , 
11,2014,03,2,62,48,017,10,1,060,05,2, , , , , 
11,2014,03,2,72,03,009,01,2,002,02,2, , , , , 
11,2014,03,2,72,03,009,02,1,003,02,1,2, , , ,5
11,2014,03,2,72,03,009,03,1,004,01,2, , , , , 
11,2014,03,2,72,03,009,06,1,007,04,2, , , , , 
11,2014,03,2,72,03,009,09,1,010,02,2, , , , , 
11,2014,03,2,72,03,009,10,1,011,02,2, , , , , 
11,2014,03,2,72,03,009,10,1,011,03,2, , , , , 
11,2014,03,2,72,03,009,10,1,011,06,2, , , , , 
11,2014,03,2,72,06,010,05,1,016,02,2, , , , , 
11,2014,03,2,72,06,010,05,1,016,04,2, , , , , 
11,2014,03,2,72,06,010,05,1,016,05,2, , , , , 
11,2014,03,2,72,06,010,06,2,017,01,2, , , , , 
11,2014,03,2,72,06,010,06,2,017,04,2, , , , , 
11,2014,03,2,72,06,010,09,1,020,01,2, , , , , 
11,2014,03,2,72,06,010,07,1,018,02,2, , , , , 
11,2014,03,2,72,12,011,01,1,042,02,1,1,5, , , 
11,2014,03,2,72,12,011,02,1,043,01,2, , , , , 
11,2014,03,2,72,12,011,02,1,043,02,2, , , , , 
11,2014,03,2,72,12,011,02,1,043,04,2, , , , , 
11,2014,03,2,72,12,011,05,1,046,02,2, , , , , 
11,2014,03,2,72,12,011,07,1,048,01,2, , , , , 
11,2014,03,2,72,12,011,07,1,048,02,2, , , , , 
11,2014,03,2,72,12,011,09,1,050,01,2, , , , , 
11,2014,03,2,72,12,011,09,1,050,02,2, , , , , 
11,2014,03,2,72,12,011,10,1,051,02,2, , , , , 
11,2014,03,2,72,12,011,10,1,051,03,2, , , , , 
11,2014,03,2,72,12,011,08,1,049,03,2, , , , , 
11,2014,03,2,72,15,012,01,1,032,02,2, , , , , 
11,2014,03,2,72,15,012,01,1,032,04,2, , , , , 
11,2014,03,2,72,15,012,02,1,033,01,2, , , , , 
11,2014,03,2,72,15,012,02,1,033,02,2, , , , , 
11,2014,03,2,72,15,012,02,1,033,04,2, , , , , 
11,2014,03,2,72,15,012,03,1,034,01,2, , , , , 
11,2014,03,2,72,15,012,03,1,034,02,2, , , , , 
11,2014,03,2,72,15,012,04,1,035,02,2, , , , , 
11,2014,03,2,72,15,012,04,1,035,04,2, , , , , 
11,2014,03,2,72,15,012,05,1,036,02,2, , , , , 
11,2014,03,2,72,15,012,06,1,037,01,2, , , , , 
11,2014,03,2,72,15,012,06,1,037,03,1,1,3,4, , 
11,2014,03,2,72,15,012,07,1,038,02,2, , , , , 
11,2014,03,2,72,15,012,08,1,039,02,2, , , , , 
11,2014,03,2,72,15,012,08,1,039,04,2, , , , , 
11,2014,03,2,72,15,012,09,1,040,01,2, , , , , 
11,2014,03,2,72,15,012,09,1,040,04,2, , , , , 
11,2014,03,2,72,15,012,10,1,041,02,2, , , , , 
11,2014,03,2,72,18,013,01,1,022,01,2, , , , , 
11,2014,03,2,72,18,013,05,1,026,05,2, , , , , 
11,2014,03,2,72,18,013,09,1,030,01,2, , , , , 
11,2014,03,2,72,18,013,09,1,030,02,2, , , , , 
11,2014,03,2,72,18,013,10,1,031,01,2, , , , , 
11,2014,03,2,44,09,007,02,1,002,02,2, , , , , 
11,2014,03,2,44,09,007,02,1,002,04,1,2, , , ,4
11,2014,03,2,44,09,007,02,1,002,06,2, , , , , 
11,2014,03,2,44,09,007,02,1,002,08,2, , , , , 
11,2014,03,2,44,09,007,03,1,003,01,2, , , , , 
11,2014,03,2,44,09,007,03,1,003,02,2, , , , , 
11,2014,03,2,44,09,007,04,1,004,02,2, , , , , 
11,2014,03,2,44,09,007,05,1,005,01,2, , , , , 
11,2014,03,2,44,09,007,05,1,005,02,2, , , , , 
11,2014,03,2,44,09,007,05,1,005,04,1,1,5, , , 
11,2014,03,2,44,09,007,08,1,008,02,2, , , , , 
11,2014,03,2,44,09,007,08,1,008,04,1,1,3, , , 
11,2014,03,2,44,09,007,08,1,008,05,1,1,3, , , 
11,2014,03,2,44,09,007,09,1,009,02,2, , , , , 
11,2014,03,2,44,09,007,10,1,010,02,2, , , , , 
11,2014,03,2,44,12,008,01,1,011,02,2, , , , , 
11,2014,03,2,44,12,008,01,1,011,03,2, , , , , 
11,2014,03,2,44,12,008,01,1,011,05,2, , , , , 
11,2014,03,2,44,12,008,01,1,011,06,2, , , , , 
11,2014,03,2,44,12,008,02,1,012,02,2, , , , , 
11,2014,03,2,44,12,008,04,1,014,02,2, , , , , 
11,2014,03,2,44,12,008,05,1,015,02,2, , , , , 
11,2014,03,2,44,12,008,06,1,016,01,2, , , , , 
11,2014,03,2,44,12,008,06,1,016,03,2, , , , , 
11,2014,03,2,44,12,008,06,1,016,04,1,2, , , ,4
11,2014,03,2,44,12,008,06,1,016,05,2, , , , , 
11,2014,03,2,44,12,008,06,1,016,06,2, , , , , 
11,2014,03,2,44,12,008,07,1,017,01,2, , , , , 
11,2014,03,2,44,12,008,07,1,017,02,2, , , , , 
11,2014,03,2,44,12,008,09,1,019,01,2, , , , , 
11,2014,03,2,44,12,008,10,1,020,01,2, , , , , 
11,2014,03,2,44,12,008,10,1,020,03,2, , , , , 
11,2014,03,2,44,12,008,10,1,020,06,1,2, , , ,2
11,2014,03,2,44,15,009,02,1,022,02,2, , , , , 
11,2014,03,2,44,15,009,02,1,022,04,1,2, , , ,3
11,2014,03,2,44,15,009,03,1,023,02,2, , , , , 
11,2014,03,2,44,15,009,03,1,023,03,2, , , , , 
11,2014,03,2,44,15,009,03,1,023,04,2, , , , , 
11,2014,03,2,44,15,009,04,1,024,02,2, , , , , 
11,2014,03,2,44,15,009,04,1,024,03,1,2, , , ,2
11,2014,03,2,44,15,009,05,1,025,02,2, , , , , 
11,2014,03,2,44,15,009,06,1,026,02,2, , , , , 
11,2014,03,2,44,15,009,06,1,026,03,2, , , , , 
11,2014,03,2,44,15,009,06,1,026,04,2, , , , , 
11,2014,03,2,44,15,009,07,1,027,02,2, , , , , 
11,2014,03,2,44,15,009,07,1,027,03,1,2, , , ,3
11,2014,03,2,44,15,009,09,1,029,02,2, , , , , 
11,2014,03,2,44,15,009,09,1,029,04,2, , , , , 
11,2014,03,2,44,15,009,09,1,029,05,1,2, , , ,3
11,2014,03,2,44,15,009,09,1,029,07,2, , , , , 
11,2014,03,2,44,15,009,10,1,030,02,2, , , , , 
11,2014,03,2,44,15,009,10,1,030,06,2, , , , , 
11,2014,03,2,44,15,009,10,1,030,07,1,2, , , ,3
11,2014,03,1,22,18,010,05,1,005,01,2, , , , , 
11,2014,03,1,22,18,010,07,1,007,01,2, , , , , 
11,2014,03,1,22,18,010,07,1,007,02,2, , , , , 
11,2014,03,1,22,18,010,07,1,007,04,2, , , , , 
11,2014,03,1,22,18,010,07,1,007,05,2, , , , , 
11,2014,03,1,22,18,010,08,1,008,01,2, , , , , 
11,2014,03,1,22,18,010,09,1,009,02,2, , , , , 
11,2014,03,1,22,18,010,10,1,010,01,2, , , , , 
11,2014,03,1,22,18,010,10,1,010,02,2, , , , , 
11,2014,03,2,22,03,011,02,1,012,02,1,2, , , ,9
11,2014,03,2,22,03,011,03,1,013,05,2, , , , , 
11,2014,03,2,22,03,011,04,1,014,02,1,2, , , ,6
11,2014,03,2,22,03,011,06,1,016,03,2, , , , , 
11,2014,03,2,22,03,011,06,1,016,04,2, , , , , 
11,2014,03,2,22,03,011,07,1,017,01,2, , , , , 
11,2014,03,2,22,03,011,08,1,018,01,2, , , , , 
11,2014,03,2,22,03,011,08,1,018,02,2, , , , , 
11,2014,03,2,22,03,011,09,1,019,02,2, , , , , 
11,2014,03,2,22,09,012,02,1,022,01,1,2, , , ,6
11,2014,03,2,22,09,012,03,1,023,02,2, , , , , 
11,2014,03,2,22,09,012,05,1,025,03,2, , , , , 
11,2014,03,2,22,09,012,06,1,026,01,2, , , , , 
11,2014,03,2,22,09,012,06,1,026,03,1,1,5, , , 
11,2014,03,2,22,09,012,07,1,027,02,2, , , , , 
11,2014,03,2,22,30,013,02,1,032,02,2, , , , , 
11,2014,03,2,22,30,013,03,1,033,02,2, , , , , 
11,2014,03,2,22,30,013,04,1,034,01,2, , , , , 
11,2014,03,2,22,30,013,04,1,034,02,2, , , , , 
11,2014,03,2,22,30,013,04,1,034,03,2, , , , , 
11,2014,03,2,22,30,013,05,1,035,01,2, , , , , 
11,2014,03,2,22,30,013,05,1,035,02,2, , , , , 
11,2014,03,2,22,30,013,05,1,035,03,2, , , , , 
11,2014,03,2,22,30,013,06,1,036,01,2, , , , , 
11,2014,03,2,22,30,013,06,1,036,02,2, , , , , 
11,2014,03,2,22,30,013,06,1,036,05,2, , , , , 
11,2014,03,2,22,30,013,07,1,037,02,2, , , , , 
11,2014,03,2,22,30,013,07,1,037,03,2, , , , , 
11,2014,03,2,22,30,013,08,1,038,01,2, , , , , 
11,2014,03,2,22,30,013,08,1,038,02,1,2, , , ,9
11,2014,03,2,22,30,013,09,1,039,01,2, , , , , 
11,2014,03,2,22,30,013,09,1,039,02,2, , , , , 
11,2014,03,2,22,30,013,10,1,040,01,2, , , , , 
11,2014,03,2,22,30,013,10,1,040,02,2, , , , , 
11,2014,03,2,22,30,013,10,1,040,04,2, , , , , 
11,2014,03,2,22,33,014,01,1,041,01,2, , , , , 
11,2014,03,2,22,33,014,02,1,042,02,2, , , , , 
11,2014,03,2,22,33,014,02,1,042,03,2, , , , , 
11,2014,03,2,22,33,014,02,1,042,04,2, , , , , 
11,2014,03,2,22,33,014,02,1,042,05,2, , , , , 
11,2014,03,2,22,33,014,03,1,043,01,2, , , , , 
11,2014,03,2,22,33,014,03,1,043,02,2, , , , , 
11,2014,03,2,22,33,014,04,1,044,01,2, , , , , 
11,2014,03,2,22,33,014,04,1,044,02,2, , , , , 
11,2014,03,2,22,33,014,05,1,045,02,2, , , , , 
11,2014,03,2,22,33,014,05,1,045,04,2, , , , , 
11,2014,03,2,22,33,014,07,1,047,02,2, , , , , 
11,2014,03,2,22,33,014,07,1,047,03,2, , , , , 
11,2014,03,2,22,33,014,08,1,048,02,2, , , , , 
11,2014,03,2,22,33,014,09,1,049,02,2, , , , , 
11,2014,03,2,22,33,014,09,1,049,05,2, , , , , 
11,2014,03,2,22,33,014,10,1,050,03,2, , , , , 
11,2014,03,2,22,33,014,10,1,050,08,1,2, , , ,2
11,2014,03,2,22,33,014,10,1,050,09,2, , , , , 
11,2014,03,2,22,33,014,10,1,050,10,2, , , , , 
11,2014,03,2,82,06,009,01,1,001,04,1,1,3, , , 
11,2014,03,2,82,06,009,02,1,002,03,2, , , , , 
11,2014,03,2,82,06,009,02,1,002,05,2, , , , , 
