REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
04,2006,01,1,11,006,08,1,058,01,2421,7411,2, , , , 
04,2006,01,1,11,006,08,1,058,02,5131,9500,1,2,2,2,3
04,2006,01,1,11,006,09,1,059,02,1227,1810,1,1,1,1,3
04,2006,01,1,11,006,09,1,059,03,1229,0000,1,1,1,1,3
04,2006,01,1,11,006,09,1,059,04,2359,8531,1,1,1,1,3
04,2006,01,1,11,007,01,1,061,01,1317,5234,2, , , , 
04,2006,01,1,11,007,01,1,061,03,2144,2230,1,1,1,1,3
04,2006,01,1,11,007,02,1,062,01,3434,2710,1,1,1,1,3
04,2006,01,1,11,007,03,1,063,01,2144,2230,1,1,1,1,3
04,2006,01,1,11,007,04,1,064,01,1221,2520,1,1,1,1,3
04,2006,01,1,11,007,05,1,065,01,3444,7411,3, , , , 
04,2006,01,1,11,007,06,1,066,03,3463,9242,3, , , , 
04,2006,01,1,11,007,08,1,068,01,7231,5010,1,1,1,1,3
04,2006,01,1,11,007,09,1,069,02,7244,6420,1,1,1,1,3
04,2006,01,1,11,007,09,1,069,04,8322,6024,3, , , , 
04,2006,01,1,11,007,09,1,069,07,9313,4521,1,2,2,2,3
04,2006,01,1,11,007,09,1,069,08,5133,9500,1,2,2,2,3
04,2006,01,1,11,007,10,1,070,01,1229,6603,1,1,1,1,3
04,2006,01,1,11,007,10,1,070,02,2423,7411,1,1,1,1,1
04,2006,01,1,11,007,10,2,071,01,3439,1810,1,2,1,1,3
04,2006,01,1,11,008,01,1,072,01,1314,5040,2, , , , 
04,2006,01,1,11,008,02,1,073,02,4115,6720,1,1,1,1,3
04,2006,01,1,11,008,02,1,073,03,3419,5233,1,1,1,1,3
04,2006,01,1,11,008,05,1,076,01,1222,1711,1,1,1,1,3
04,2006,01,1,11,008,05,1,076,02,4115,6519,1,1,1,1,3
04,2006,01,1,11,008,05,1,076,05,5133,9500,1,3,2,3,3
04,2006,01,1,11,008,06,1,077,03,5149,9214,3, , , , 
