REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,1,11,007,09,1,069,07,1,1,6,48,48
05,2006,01,1,11,007,09,1,069,08,2,2,1,99,99
05,2006,01,1,11,007,10,1,070,01,1,1,6,40,40
05,2006,01,1,11,007,10,1,070,02, , , ,40,40
05,2006,01,1,11,007,10,2,071,01,1,1,5,50,50
05,2006,01,1,11,008,01,1,072,01,2,2,1,48,48
05,2006,01,1,11,008,02,1,073,02,1,1,2,62,62
05,2006,01,1,11,008,02,1,073,03,1,1,4,60,60
05,2006,01,1,11,008,05,1,076,01,1,1,6,48,48
05,2006,01,1,11,008,05,1,076,02,1,1,6,50,50
05,2006,01,1,11,008,05,1,076,05,3,2,8,99,99
05,2006,01,1,11,008,06,1,077,03,2,2,7,05,05
05,2006,01,1,11,008,07,1,078,01,3,1,4,40,40
05,2006,01,1,11,008,07,1,078,02,1,1,6,40,40
05,2006,01,1,11,008,08,1,079,01,1,1,6,45,45
05,2006,01,1,11,008,09,1,080,01,1,1,6,40,40
05,2006,01,1,11,008,09,1,080,03,1,1,6,66,66
05,2006,01,1,11,008,09,1,080,04,2,2,8,99,99
05,2006,01,1,11,008,10,1,081,04, , , ,40,40
05,2006,01,1,11,008,10,1,081,05,1,1,6,40,40
05,2006,01,1,11,008,10,1,081,07,3,2,1,15,15
05,2006,01,1,11,008,10,1,081,09,3,2,7,99,99
05,2006,01,1,11,009,02,1,083,01,2,2,7,35,35
05,2006,01,1,11,009,03,1,084,02,2,2,8,70,70
05,2006,01,1,11,009,04,1,085,03, , , ,45,45
05,2006,01,1,11,009,04,1,085,04,1,1,4,52,52
05,2006,01,1,11,009,06,1,087,01,3,1,2,70,70
05,2006,01,1,11,009,08,1,089,01,2,2,7,80,60
05,2006,01,1,11,009,09,1,090,01,2,2,1,70,70
05,2006,01,1,11,009,10,1,091,01,1,1,2,52,52
05,2006,01,2,11,010,01,1,093,03,2,2,7,70,70
05,2006,01,2,11,010,02,1,094,01,1,1,5,50,50
05,2006,01,2,11,010,02,1,094,02,1,1,5,50,50
05,2006,01,2,11,010,03,1,095,02,1,1,2,48,48
05,2006,01,2,11,010,03,1,095,04,2,2,8,60,60
05,2006,01,2,11,010,04,1,096,02,2,2,7,56,40
05,2006,01,2,11,010,04,1,096,03, , , ,45,54
05,2006,01,2,11,010,05,1,097,03,1,1,6,72,72
05,2006,01,2,11,010,06,1,098,01,1,1,3,84,84
05,2006,01,2,11,010,07,1,099,01,2,2,8,42,42
05,2006,01,2,11,010,08,1,100,01,1,1,1,50,50
05,2006,01,2,11,010,09,1,101,02,3,2,7,60,60
05,2006,01,2,11,010,09,1,101,03,2,2,7,70,70
05,2006,01,2,11,010,10,1,102,02,2,2,7,60,65
05,2006,01,2,11,010,10,1,102,05, , , ,48,48
05,2006,01,2,11,011,01,1,103,01,1,2,1,40,50
05,2006,01,2,11,011,02,1,104,01,2,2,8,28,28
05,2006,01,2,11,011,02,1,104,02,2,2,8,84,84
05,2006,01,2,11,011,02,1,104,03,2,2,8,10,10
05,2006,01,2,11,011,03,1,105,03, , , ,40,40
05,2006,01,2,11,011,04,1,106,01,2,2,8,48,48
05,2006,01,2,11,011,04,1,106,03,1,1,5,50,50
05,2006,01,2,11,011,05,1,107,02,2,2,8,30,30
