REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
 4,2011,01,1,11,001,01,1,001,01,9322,1549,1,3,2,2,3
 4,2011,01,1,11,001,02,1,002,01,7344,2102,3, , , , 
 4,2011,01,1,11,001,02,1,002,02,7344,2102,4, , , , 
 4,2011,01,1,11,001,02,1,002,03,9322,5126,1,3,2,2,3
 4,2011,01,1,11,001,03,1,003,01,9341,5220,1,4, , , 
 4,2011,01,1,11,001,06,1,006,02,9341,5242,1,3,2,2,3
 4,2011,01,1,11,001,06,1,006,03,5220,5231,1,1,1,1,3
 4,2011,01,1,11,001,07,1,007,02,9322,5126,1,3,2,2,3
 4,2011,01,1,11,001,08,1,008,02,9313,4521,1,1,1,1,3
 4,2011,01,1,11,001,09,1,009,01,9162,9009,1,2,1,2,3
 4,2011,01,1,11,001,09,1,009,02,9162,9009,1,2,1,2,3
 4,2011,01,1,11,001,09,1,009,04,6153,0601,1,3,2,2,3
 4,2011,01,1,11,001,10,1,010,01,9322,1920,1,3,2,2,3
 4,2011,01,1,11,001,10,1,010,02,5220,5232,1,2,2,1,3
 4,2011,01,1,11,002,01,1,011,01,1314,5211,3, , , , 
 4,2011,01,1,11,002,01,1,011,02,5220,5211,4, , , , 
 4,2011,01,1,11,002,01,1,011,03,5220,5211,4, , , , 
 4,2011,01,1,11,002,02,1,012,01,5220,5127,1,1,1,1,3
 4,2011,01,1,11,002,03,1,013,01,9313,4521,1,4, , , 
 4,2011,01,1,11,002,03,1,013,03,1314,5234,3, , , , 
 4,2011,01,1,11,002,03,1,013,04,4121,5030,1,1,1,1,3
 4,2011,01,1,11,002,03,1,013,07,9341,5249,1,3,2,2,3
 4,2011,01,1,11,002,04,1,014,01,1317,5232,3, , , , 
 4,2011,01,1,11,002,05,1,015,01,4115,5234,1,1,1,1,3
 4,2011,01,1,11,002,05,1,015,02,2321,8021,3, , , , 
 4,2011,01,1,11,002,06,1,016,01,9322,5126,1,3,2,2,3
 4,2011,01,1,11,002,06,1,016,03,5220,5030,1,2,2,1,3
 4,2011,01,1,11,002,06,1,016,04,8322,6024,3, , , , 
 4,2011,01,1,11,002,06,1,016,06,8322,6024,3, , , , 
 4,2011,01,1,11,002,07,1,017,01,8333,4550,1,2,2,1,3
 4,2011,01,1,11,002,07,1,017,06,9322,5126,1,2,2,1,3
 4,2011,01,1,11,002,08,1,018,01,9313,4521,1,3,2,2,3
 4,2011,01,1,11,002,10,1,020,01,1317,5030,3, , , , 
 4,2011,01,1,11,003,01,1,021,02,1210,6592,1,1,1,1,3
 4,2011,01,1,11,003,02,1,022,02,9153,7492,1,1,1,1,2
 4,2011,01,1,11,003,05,1,025,01,7239,5260,1,1,1,1,3
 4,2011,01,1,11,003,07,1,027,01,1229,6601,1,1,1,1,3
 4,2011,01,1,11,003,07,1,027,03,9131,9500,1,3,2,2,3
 4,2011,01,1,11,003,08,1,028,01,6111,0111,3, , , , 
 4,2011,01,1,11,003,08,1,028,03,9341,9600,1,4, , , 
 4,2011,01,1,11,003,09,1,029,01,1317,5232,2, , , , 
 4,2011,01,1,11,003,09,1,029,02,5220,5232,4, , , , 
 4,2011,01,1,11,004,01,1,031,01,4115,0000,1,1,1,1,1
 4,2011,01,1,11,004,01,1,031,04,4115,6024,1,1,1,1,3
 4,2011,01,1,11,004,01,1,031,07,5122,5520,1,1,1,1,3
 4,2011,01,1,11,004,02,1,032,02,8322,6024,3, , , , 
 4,2011,01,1,11,004,03,1,033,01,1317,5242,2, , , , 
 4,2011,01,1,11,004,03,1,033,05,9341,5242,1,2,2,2,3
 4,2011,01,1,11,004,03,1,033,06,1317,5242,2, , , , 
 4,2011,01,1,11,004,05,1,035,01,9162,2229,1,2,1,1,3
 4,2011,01,1,11,004,05,1,035,02,9151,8021,1,1,1,1,1
 4,2011,01,1,11,004,05,1,035,06,5122,9309,1,2,2,2,3
 4,2011,01,1,11,004,06,1,036,01,1313,4521,2, , , , 
 4,2011,01,1,11,004,09,1,039,01,7342,2229,3, , , , 
 4,2011,01,1,11,004,09,1,039,05,9313,4521,1,4, , , 
 4,2011,01,1,11,004,10,1,040,01,9313,4521,1,4, , , 
 4,2011,01,1,11,005,02,1,042,01,8322,7414,1,1,1,1,3
 4,2011,01,1,11,005,03,1,043,01,1224,5126,1,1,1,1,3
 4,2011,01,1,11,005,04,1,044,02,5122,1531,3, , , , 
 4,2011,01,1,11,005,04,1,044,03,5122,1531,4, , , , 
 4,2011,01,1,11,005,05,1,045,01,8322,6024,3, , , , 
 4,2011,01,1,11,005,06,1,046,01,9131,9500,1,3,2,2,3
 4,2011,01,1,11,005,06,1,046,02,7442,1920,1,2,2,2,3
 4,2011,01,1,11,005,07,1,047,01,1314,5220,3, , , , 
 4,2011,01,1,11,005,08,1,048,01,9341,9500,1,2,2,2,3
 4,2011,01,1,11,005,10,1,050,02,1224,5233,1,1,1,1,3
