REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q20_PERSON_SERIAL_NO,Q20_REASON_FEWER_HOURS,Q21_ENGAGED_SECONDARY_OCCU,Q22_WHAT_SECONDARY_OCCU,Q23_PLACE_SECONDARY_OCCU,Q24_STATUS_OF_OCCUPATION,Q25_NO_OF_HOURS_OF_WORKING
 6,2011,01,1,11,001,01,1,001,01, ,2,    ,    , ,  
 6,2011,01,1,11,001,02,1,002,01, ,2,    ,    , ,  
 6,2011,01,1,11,001,02,1,002,02, ,2,    ,    , ,  
 6,2011,01,1,11,001,02,1,002,03,8,2,    ,    , ,  
 6,2011,01,1,11,001,03,1,003,01,8,2,    ,    , ,  
 6,2011,01,1,11,001,06,1,006,02, ,2,    ,    , ,  
 6,2011,01,1,11,001,06,1,006,03, ,2,    ,    , ,  
 6,2011,01,1,11,001,07,1,007,02,8,2,    ,    , ,  
 6,2011,01,1,11,001,08,1,008,02, ,2,    ,    , ,  
 6,2011,01,1,11,001,09,1,009,01, ,2,    ,    , ,  
 6,2011,01,1,11,001,09,1,009,02, ,2,    ,    , ,  
 6,2011,01,1,11,001,09,1,009,04, ,2,    ,    , ,  
 6,2011,01,1,11,001,10,1,010,01,8,2,    ,    , ,  
 6,2011,01,1,11,001,10,1,010,02, ,2,    ,    , ,  
 6,2011,01,1,11,002,01,1,011,01, ,2,    ,    , ,  
 6,2011,01,1,11,002,01,1,011,02, ,2,    ,    , ,  
 6,2011,01,1,11,002,01,1,011,03, ,2,    ,    , ,  
 6,2011,01,1,11,002,02,1,012,01,8,2,    ,    , ,  
 6,2011,01,1,11,002,03,1,013,01,3,2,    ,    , ,  
 6,2011,01,1,11,002,03,1,013,03,8,2,    ,    , ,  
 6,2011,01,1,11,002,03,1,013,04,8,2,    ,    , ,  
 6,2011,01,1,11,002,03,1,013,07, ,2,    ,    , ,  
 6,2011,01,1,11,002,04,1,014,01, ,2,    ,    , ,  
 6,2011,01,1,11,002,05,1,015,01,8,2,    ,    , ,  
 6,2011,01,1,11,002,05,1,015,02, ,2,    ,    , ,  
 6,2011,01,1,11,002,06,1,016,01,7,2,    ,    , ,  
 6,2011,01,1,11,002,06,1,016,03,8,2,    ,    , ,  
 6,2011,01,1,11,002,06,1,016,04, ,2,    ,    , ,  
 6,2011,01,1,11,002,06,1,016,06, ,2,    ,    , ,  
 6,2011,01,1,11,002,07,1,017,01,8,2,    ,    , ,  
 6,2011,01,1,11,002,07,1,017,06,8,2,    ,    , ,  
 6,2011,01,1,11,002,08,1,018,01,2,2,    ,    , ,  
 6,2011,01,1,11,002,10,1,020,01,8,2,    ,    , ,  
 6,2011,01,1,11,003,01,1,021,02, ,2,    ,    , ,  
