REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2011,01,1,11,001,04,1,004,02,2,1,9322,1
12,2011,01,1,11,002,08,1,018,03,3,2,    , 
12,2011,01,1,11,003,04,1,024,03, ,2,    , 
12,2011,01,1,11,004,04,1,034,01,1,1,7223,1
12,2011,01,1,11,009,09,1,089,03, ,1,7241,1
12,2011,01,2,11,012,08,1,118,02,2,2,    , 
12,2011,01,2,11,012,08,1,118,04,2,1,9341,1
12,2011,01,2,11,014,04,1,137,02, ,1,2231,1
12,2011,01,2,11,015,03,1,145,01,2,1,9341,1
12,2011,01,3,11,018,08,1,181,04,2,2,    , 
12,2011,02,1,11,027,02,1,062,03,6,2,    , 
12,2011,02,1,11,028,08,1,078,01,1,2,    , 
12,2011,02,1,11,028,08,1,078,02,2,1,7412,3
12,2011,02,1,11,029,05,1,085,02,2,1,4115,1
12,2011,02,1,11,029,06,1,086,03,6,2,    , 
12,2011,02,2,11,031,02,1,102,01,9,1,4121,1
12,2011,02,2,11,033,04,1,124,05,1,2,    , 
12,2011,03,2,11,049,07,1,119,03,9,2,    , 
12,2011,04,1,11,055,03,1,003,06,2,2,    , 
12,2011,04,1,11,055,03,1,003,07,2,2,    , 
12,2011,04,2,11,064,08,1,179,01,2,1,4121,1
12,2011,04,2,11,069,04,1,095,02,2,1,9313,1
12,2011,04,2,11,069,04,1,095,05,2,1,7141,1
12,2011,04,2,11,069,04,1,095,07,2,1,7143,1
12,2011,05,2,11,082,07,1,108,03, ,1,4121,1
12,2011,05,2,11,084,07,1,118,01,9,1,3152,1
12,2011,05,2,11,086,04,1,135,03,1,1,8322,1
12,2011,05,2,11,087,01,1,142,03, ,1,4113,1
12,2011,05,2,11,087,02,1,143,02,2,1,9313,1
12,2011,05,2,11,087,06,1,147,03,1,1,7413,1
12,2011,05,2,11,087,06,1,147,04,1,1,7413,1
12,2011,05,2,11,087,08,1,149,02,2,1,4141,1
12,2011,05,2,11,088,09,1,160,03, ,1,3152,1
12,2011,06,2,11,100,05,1,165,03,2,2,    , 
12,2011,06,2,11,101,02,1,172,04, ,2,    , 
12,2011,06,2,11,101,07,1,177,01,9,1,8322,3
12,2011,06,2,11,101,10,1,180,03,9,1,5220,1
12,2011,06,2,11,104,03,1,113,03,2,2,    , 
12,2011,06,2,11,105,04,1,124,04, ,2,    , 
12,2011,06,2,11,106,05,1,135,03,9,2,    , 
12,2011,07,1,11,109,03,1,013,07,2,2,    , 
12,2011,07,1,11,110,01,1,001,02,1,2,    , 
12,2011,07,1,11,111,03,1,023,05, ,2,    , 
12,2011,07,1,11,115,03,1,063,04, ,2,    , 
12,2011,07,2,11,118,05,1,095,04,2,1,8281,1
12,2011,07,2,11,123,08,1,150,03,2,1,5220,1
12,2011,07,2,11,123,09,1,151,04, ,1,2359,1
12,2011,07,2,11,123,09,1,151,06,2,2,    , 
12,2011,07,2,11,124,04,1,156,03,9,1,9131,1
12,2011,07,2,11,124,04,1,156,04,9,1,9131,1
12,2011,08,1,11,130,08,1,028,03,2,2,    , 
12,2011,08,1,11,132,02,1,042,03,2,1,5220,1
12,2011,08,2,11,137,09,1,089,02,9,1,8290,1
12,2011,08,2,11,140,05,1,115,02,1,2,    , 
12,2011,08,2,11,141,05,1,125,04,5,2,    , 
12,2011,08,2,11,142,03,1,133,01,2,1,9132,1
12,2011,09,1,11,146,01,1,011,03,2,2,    , 
12,2011,09,2,11,155,04,1,175,03,2,2,    , 
12,2011,09,2,11,157,04,1,115,07,4,2,    , 
12,2011,09,2,11,158,01,1,142,02,1,2,    , 
12,2011,01,2,12,005,10,1,051,02,9,2,    , 
12,2011,01,2,12,010,02,1,083,02,2,2,    , 
12,2011,01,2,12,011,07,1,098,03, ,2,    , 
12,2011,01,2,12,011,10,1,101,03, ,1,8323,3
12,2011,01,2,12,013,05,1,116,02,3,2,    , 
12,2011,01,2,12,015,10,1,141,04,9,2,    , 
12,2011,01,2,12,016,07,1,148,03, ,2,    , 
12,2011,01,2,12,016,07,1,148,04, ,1,4211,1
12,2011,02,2,12,019,10,1,030,04,1,2,    , 
12,2011,02,2,12,022,05,1,055,01, ,1,3152,1
12,2011,03,2,12,036,01,1,031,03, ,2,    , 
12,2011,03,2,12,036,01,1,031,04, ,2,    , 
12,2011,03,2,12,038,01,1,051,04,6,2,    , 
12,2011,03,2,12,038,03,1,053,04,6,2,    , 
12,2011,03,2,12,039,02,1,062,01,2,2,    , 
12,2011,03,2,12,039,02,1,062,03, ,2,    , 
12,2011,03,2,12,039,02,1,062,05,2,2,    , 
12,2011,03,2,12,039,04,1,064,04,1,2,    , 
12,2011,03,2,12,039,05,1,065,01,1,1,1223,1
12,2011,03,2,12,042,07,1,097,04,2,1,0110,1
12,2011,03,2,12,046,10,1,140,01, ,1,9341,1
12,2011,04,2,12,052,08,1,038,03,1,2,    , 
12,2011,04,2,12,054,04,1,054,03,6,2,    , 
12,2011,04,2,12,054,04,1,054,04,2,2,    , 
12,2011,04,2,12,056,03,1,073,04, ,2,    , 
12,2011,04,2,12,059,10,1,100,04,3,2,    , 
12,2011,05,2,12,062,10,1,010,01,2,1,2359,1
12,2011,05,1,12,066,06,1,016,04,6,1,4121,1
12,2011,05,2,12,069,03,1,043,03,6,2,    , 
12,2011,05,2,12,070,06,1,056,03, ,1,4115,1
12,2011,05,2,12,075,09,1,109,04, ,2,    , 
12,2011,05,2,12,076,02,1,112,06,1,2,    , 
12,2011,05,2,12,078,01,1,131,03, ,2,    , 
12,2011,06,1,12,081,08,1,008,04, ,1,4121,1
12,2011,06,2,12,085,09,1,049,01, ,1,4131,1
12,2011,06,2,12,087,03,1,063,03, ,2,    , 
12,2011,06,2,12,092,09,1,119,03,1,2,    , 
12,2011,06,2,12,092,09,1,119,04,2,2,    , 
12,2011,06,2,12,093,02,1,123,03,1,2,    , 
12,2011,06,2,12,093,05,1,126,03,1,2,    , 
12,2011,06,2,12,095,05,1,147,03, ,2,    , 
12,2011,06,2,12,096,07,1,159,03, ,1,7212,1
12,2011,06,2,12,096,08,1,160,03,9,1,7142,1
12,2011,07,2,12,099,05,1,025,02, ,1,2331,1
12,2011,07,2,12,102,02,1,052,04, ,1,8322,1
12,2011,07,2,12,102,03,1,053,03,2,2,    , 
12,2011,07,2,12,106,09,1,089,03,2,1,7433,1
12,2011,08,2,12,117,03,1,043,02, ,2,    , 
12,2011,08,2,12,124,01,1,111,05, ,2,    , 
12,2011,09,1,12,129,10,1,011,04, ,2,    , 
12,2011,09,1,12,130,01,1,012,03, ,2,    , 
12,2011,09,1,12,130,06,1,017,04,2,1,8322,1
12,2011,09,2,12,132,01,1,032,01,2,2,    , 
12,2011,09,2,12,133,04,1,045,01,6,2,    , 
12,2011,09,2,12,133,05,1,046,03,6,2,    , 
12,2011,09,2,12,133,05,1,046,04,9,2,    , 
12,2011,09,2,12,133,05,1,046,05, ,2,    , 
12,2011,09,2,12,133,07,1,048,03, ,1,3412,1
12,2011,09,2,12,137,05,1,087,04, ,2,    , 
12,2011,09,2,12,137,05,1,087,05, ,2,    , 
12,2011,09,2,12,137,09,1,091,03, ,2,    , 
12,2011,09,2,12,144,09,1,162,03,1,2,    , 
12,2011,09,2,12,144,10,1,163,03,9,1,9341,1
12,2011,01,2,13,003,01,1,041,02,9,1,7435,1
12,2011,01,2,13,003,02,1,042,03,2,2,    , 
12,2011,01,2,13,004,01,1,001,01,9,2,    , 
12,2011,01,2,13,005,07,1,078,03,1,2,    , 
12,2011,01,2,13,006,07,1,017,03,6,1,5220,1
12,2011,01,2,13,006,07,1,017,04,3,2,    , 
12,2011,01,3,13,010,04,1,034,01,4,2,    , 
12,2011,01,3,13,010,06,1,036,03,4,1,7241,1
12,2011,01,3,13,010,06,1,036,04,3,2,    , 
12,2011,02,1,13,011,05,1,065,03, ,1,8324,1
12,2011,03,2,13,025,02,1,053,06,2,1,7433,1
12,2011,03,2,13,025,03,1,054,04, ,2,    , 
12,2011,03,2,13,025,06,1,057,03,9,2,    , 
12,2011,03,3,13,031,09,1,110,03,1,2,    , 
12,2011,03,3,13,031,09,1,110,05,1,2,    , 
12,2011,04,1,13,032,04,1,024,03,9,2,    , 
12,2011,04,2,13,034,01,1,051,03,9,1,4121,1
12,2011,04,2,13,034,03,1,053,05, ,1,2139,1
12,2011,04,2,13,036,03,1,003,04,9,1,7431,1
