REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
 5,2011,01,1,11,001,01,1,001,01,2,2,3,60,60
 5,2011,01,1,11,001,02,1,002,01,2,2,8,35,35
 5,2011,01,1,11,001,02,1,002,02,2,2,8,35,35
 5,2011,01,1,11,001,02,1,002,03,1,1,6,60,50
 5,2011,01,1,11,001,03,1,003,01, , , ,56,48
 5,2011,01,1,11,001,06,1,006,02,2,2,1,70,70
 5,2011,01,1,11,001,06,1,006,03,1,1,5,45,50
 5,2011,01,1,11,001,07,1,007,02,1,1,6,60,50
 5,2011,01,1,11,001,08,1,008,02,1,1,4,60,72
 5,2011,01,1,11,001,09,1,009,01,1,1,6,54,54
 5,2011,01,1,11,001,09,1,009,02,1,1,6,54,54
 5,2011,01,1,11,001,09,1,009,04,2,2,1,36,36
 5,2011,01,1,11,001,10,1,010,01,2,2,2,56,48
 5,2011,01,1,11,001,10,1,010,02,2,2,1,45,45
 5,2011,01,1,11,002,01,1,011,01,2,2,8,70,70
 5,2011,01,1,11,002,01,1,011,02,2,2,8,70,70
 5,2011,01,1,11,002,01,1,011,03,2,2,8,70,70
 5,2011,01,1,11,002,02,1,012,01,1,1,3,45,38
 5,2011,01,1,11,002,03,1,013,01, , , ,70,40
 5,2011,01,1,11,002,03,1,013,03,2,2,8,50,42
 5,2011,01,1,11,002,03,1,013,04,1,1,3,45,37
 5,2011,01,1,11,002,03,1,013,07,2,2,2,60,60
 5,2011,01,1,11,002,04,1,014,01,2,2,8,70,70
 5,2011,01,1,11,002,05,1,015,01,1,1,4,45,40
 5,2011,01,1,11,002,05,1,015,02,2,2,8,10,10
 5,2011,01,1,11,002,06,1,016,01,1,1,6,60,00
 5,2011,01,1,11,002,06,1,016,03,2,2,1,45,37
 5,2011,01,1,11,002,06,1,016,04,2,2,8,70,70
 5,2011,01,1,11,002,06,1,016,06,2,2,8,70,70
 5,2011,01,1,11,002,07,1,017,01,2,2,3,60,40
 5,2011,01,1,11,002,07,1,017,06,1,1,6,70,60
 5,2011,01,1,11,002,08,1,018,01,2,2,3,70,40
 5,2011,01,1,11,002,10,1,020,01,2,2,8,50,40
 5,2011,01,1,11,003,01,1,021,02,1,1,6,40,42
 5,2011,01,1,11,003,02,1,022,02, , , ,40,40
 5,2011,01,1,11,003,05,1,025,01,1,1,6,45,37
 5,2011,01,1,11,003,07,1,027,01,1,1,6,45,37
 5,2011,01,1,11,003,07,1,027,03,2,2,8,42,42
 5,2011,01,1,11,003,08,1,028,01,2,2,7,35,35
 5,2011,01,1,11,003,08,1,028,03, , , ,50,30
 5,2011,01,1,11,003,09,1,029,01,1,1,2,70,60
 5,2011,01,1,11,003,09,1,029,02,1,1,2,40,40
 5,2011,01,1,11,004,01,1,031,01, , , ,40,32
 5,2011,01,1,11,004,01,1,031,04,1,1,4,40,32
 5,2011,01,1,11,004,01,1,031,07,1,1,4,40,40
 5,2011,01,1,11,004,02,1,032,02,2,2,8,50,50
 5,2011,01,1,11,004,03,1,033,01,2,2,1,50,50
 5,2011,01,1,11,004,03,1,033,05,2,2,1,50,50
 5,2011,01,1,11,004,03,1,033,06,2,2,1,50,50
 5,2011,01,1,11,004,05,1,035,01,1,1,3,40,32
 5,2011,01,1,11,004,05,1,035,02, , , ,40,32
 5,2011,01,1,11,004,05,1,035,06,2,1,4,40,32
 5,2011,01,1,11,004,06,1,036,01,1,1,3,50,40
 5,2011,01,1,11,004,09,1,039,01,2,2,8,50,50
 5,2011,01,1,11,004,09,1,039,05, , , ,48,32
 5,2011,01,1,11,004,10,1,040,01, , , ,45,30
 5,2011,01,1,11,005,02,1,042,01,1,1,4,40,40
 5,2011,01,1,11,005,03,1,043,01,1,1,5,40,40
 5,2011,01,1,11,005,04,1,044,02,2,2,8,45,45
