REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2008,01,1,11,001,10,1,010,06,80000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,11,003,08,1,028,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,11,004,07,1,037,05,10000,1,1,719,2,45,12,   , ,  ,  
11,2008,01,1,11,006,08,1,058,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,11,009,06,1,087,03,12000,1,1,848,1,23,24,   , ,  ,  
11,2008,01,2,11,010,02,1,093,03,09000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,11,011,03,1,104,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,11,014,01,1,132,04,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,12,001,07,1,007,02,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,12,003,02,1,022,06,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,12,008,04,1,074,03,40000,1,1,845,1,23,12,   , ,  ,  
11,2008,01,2,12,008,05,1,075,02,15000,2,1,241,2,45,36,827,2,45,48
11,2008,01,2,12,010,01,1,091,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,13,001,02,1,002,04,05000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,13,001,03,1,003,05,04000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,08,1,13,001,05,1,005,03,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,003,02,1,022,02,08000,1,1,719,2,45,12,   , ,  ,  
11,2008,01,2,13,005,03,1,043,10,35000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,005,08,1,048,02,05000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,006,02,1,052,03,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,006,10,1,060,03,05000,3,1,719,1,00,06,   , ,  ,  
11,2008,01,2,13,007,01,1,061,03,08000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,007,01,1,061,04,09000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,007,03,1,063,03,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,008,09,1,079,02,15000,1,1,718,1,45,09,   , ,  ,  
11,2008,01,2,13,008,10,1,080,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,13,008,10,1,080,04,20000,3,1,718,1,45,09,   , ,  ,  
11,2008,01,2,13,008,10,1,080,05,15000,3,1,854,1,45,09,   , ,  ,  
11,2008,01,2,13,010,06,1,096,01,21000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,002,06,1,016,02,05000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,002,08,1,018,05,05000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,003,10,1,031,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,004,09,1,040,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,009,02,1,083,04,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,009,02,1,083,05,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,009,04,1,085,01,     , , ,   ,1,  ,24,   , ,  ,  
11,2008,01,2,21,010,02,1,093,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,21,010,04,1,095,04,10000,3,1,162,1,45,03,   , ,  ,  
11,2008,01,2,22,002,05,1,015,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,22,002,08,1,018,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,22,004,03,1,033,03,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,22,004,07,1,037,04,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,1,23,001,05,1,005,04,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,3,23,004,03,1,034,04,01000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,3,23,004,03,1,034,05,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,31,004,04,1,034,05,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,31,004,05,1,035,03,12000,3,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,31,006,10,1,060,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2008,01,2,31,010,04,1,094,02,06000,2,1,611,1,46,03,   , ,  ,  
11,2008,01,2,31,010,10,1,100,03,08000,2,1,719,1,46,06,   , ,  ,  
