REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2008,01,1,11,001,01,1,001,02,1,1,3,48,40
05,2008,01,1,11,001,02,1,002,02,1,1,6,48,50
05,2008,01,1,11,001,03,1,003,01, , , ,45,60
05,2008,01,1,11,001,03,1,003,06,1,1,3,48,60
05,2008,01,1,11,001,03,1,003,07,2,2,1,84,84
05,2008,01,1,11,001,04,1,004,01,1,1,2,84,48
05,2008,01,1,11,001,04,1,004,03,1,1,6,40,45
05,2008,01,1,11,001,05,1,005,01,2,2,8,35,20
05,2008,01,1,11,001,07,1,007,01,2,2,8,70,60
05,2008,01,1,11,001,09,1,009,01,2,1,1,72,72
05,2008,01,1,11,001,09,1,009,05,1,1,4,44,36
05,2008,01,1,11,001,10,1,010,03,2,2,1,70,60
05,2008,01,1,11,001,10,1,010,05,1,1,1,84,72
05,2008,01,1,11,001,10,1,010,08,1,1,1,84,72
05,2008,01,1,11,002,01,1,011,01,2,2,8,60,60
05,2008,01,1,11,002,01,1,011,02,1,1,5,50,40
05,2008,01,1,11,002,01,1,011,04,1,1,6,40,32
05,2008,01,1,11,002,02,1,012,01,1,1,6,45,37
05,2008,01,1,11,002,02,1,012,02,1,1,6,45,37
05,2008,01,1,11,002,02,1,012,03,1,1,6,40,32
05,2008,01,1,11,002,03,1,013,01,2,2,8,14,14
05,2008,01,1,11,002,03,1,013,03,1,1,2,45,37
05,2008,01,1,11,002,04,1,014,02,2,2,8,15,20
05,2008,01,1,11,002,05,1,015,01,2,2,8,84,84
05,2008,01,1,11,002,06,1,016,02, , , ,40,50
05,2008,01,1,11,002,06,1,016,03,2,2,8,20,20
05,2008,01,1,11,002,06,1,016,04,2,2,1,50,50
05,2008,01,1,11,002,07,1,017,01,1,1,3,60,40
05,2008,01,1,11,002,07,1,017,03,1,1,3,50,40
05,2008,01,1,11,002,07,1,017,04,1,1,3,50,40
05,2008,01,1,11,002,08,1,018,03,1,1,4,60,60
05,2008,01,1,11,002,09,1,019,01, , , ,70,50
05,2008,01,1,11,002,10,1,020,01,2,2,8,70,70
05,2008,01,1,11,002,10,1,020,03,1,1,5,45,40
05,2008,01,1,11,002,10,1,020,04,1,1,6,45,45
05,2008,01,1,11,003,01,1,021,01,1,2,1,56,56
05,2008,01,1,11,003,01,1,021,04, , , ,40,40
05,2008,01,1,11,003,02,1,022,01,2,2,8,38,38
05,2008,01,1,11,003,02,1,022,02,2,2,8,35,35
05,2008,01,1,11,003,03,1,023,01,2,2,1,70,70
05,2008,01,1,11,003,04,1,024,01, , , ,48,48
05,2008,01,1,11,003,04,1,024,03,1,2,2,70,70
05,2008,01,1,11,003,04,1,024,05,1,1,6,48,48
05,2008,01,1,11,003,05,1,025,01,1,1,6,60,60
05,2008,01,1,11,003,06,1,026,02,2,2,8,42,42
05,2008,01,1,11,003,09,1,029,01,1,2,8,80,80
05,2008,01,1,11,003,10,1,030,01,1,2,3,80,80
05,2008,01,1,11,004,01,1,031,01, , , ,54,54
05,2008,01,1,11,004,01,1,031,02,2,2,7,40,40
05,2008,01,1,11,004,02,1,032,01,1,1,4,50,00
05,2008,01,1,11,004,02,1,032,03,1,1,6,49,49
05,2008,01,1,11,004,03,1,033,01,2,2,7,70,70
05,2008,01,1,11,004,04,1,034,01,2,2,8,30,00
05,2008,01,1,11,004,05,1,035,01,2,2,8,40,10
05,2008,01,1,11,004,05,1,035,02, , , ,40,48
05,2008,01,1,11,004,05,1,035,03,2,2,7,08,02
05,2008,01,1,11,004,06,1,036,01,3,1,4,48,44
05,2008,01,1,11,004,07,1,037,01,1,1,6,44,44
05,2008,01,1,11,004,07,1,037,03,2,2,1,60,60
05,2008,01,1,11,004,07,1,037,04,1,1,6,44,80
05,2008,01,1,11,004,08,1,038,01,3,3,7,45,50
05,2008,01,1,11,004,09,1,039,03,3,3,1,54,60
05,2008,01,1,11,004,09,1,039,04, , , ,50,60
05,2008,01,1,11,004,09,1,039,05, , , ,50,60
05,2008,01,1,11,004,09,1,039,06,1,1,5,54,60
05,2008,01,1,11,004,10,1,040,01,2,2,7,40,10
05,2008,01,1,11,004,10,1,040,03, , , ,40,60
05,2008,01,1,11,005,02,1,042,01, , , ,40,40
05,2008,01,1,11,005,02,1,042,02, , , ,40,40
05,2008,01,1,11,005,03,1,043,02,1,1,6,40,40
05,2008,01,1,11,005,03,1,043,03,2,2,1,25,25
05,2008,01,1,11,005,04,1,044,01,2,2,8,70,70
05,2008,01,1,11,005,04,1,044,02,2,2,8,60,60
05,2008,01,1,11,005,04,1,044,03,2,2,8,50,50
05,2008,01,1,11,005,04,1,044,04,2,2,8,60,60
05,2008,01,1,11,005,05,1,045,01,1,1,1,48,48
05,2008,01,1,11,005,05,1,045,02, , , ,40,40
05,2008,01,1,11,005,06,1,046,03,2,2,1,20,20
05,2008,01,1,11,005,06,1,046,04,1,1,3,40,40
05,2008,01,1,11,005,06,1,046,05, , , ,40,40
05,2008,01,1,11,005,07,1,047,01, , , ,40,00
05,2008,01,1,11,005,08,1,048,01,1,1,5,50,50
05,2008,01,1,11,005,08,1,048,02,1,1,4,50,50
05,2008,01,1,11,005,09,1,049,01,1,1,5,40,40
05,2008,01,1,11,005,09,1,049,02,1,1,6,40,40
05,2008,01,1,11,005,10,1,050,01,1,2,8,45,45
05,2008,01,1,11,005,10,1,050,03,1,2,8,45,45
05,2008,01,1,11,005,10,1,050,04,2,2,1,99,99
05,2008,01,1,11,005,10,1,050,05,2,2,1,99,99
05,2008,01,1,11,005,10,1,050,06,2,2,1,99,99
05,2008,01,1,11,006,01,1,051,02,1,1,1,60,70
05,2008,01,1,11,006,02,1,052,01,2,2,1,60,60
05,2008,01,1,11,006,02,1,052,02,1,1,4,54,54
05,2008,01,1,11,006,02,1,052,03,1,1,4,40,40
05,2008,01,1,11,006,02,1,052,04,1,1,6,40,40
05,2008,01,1,11,006,03,1,053,01,1,1,4,50,50
05,2008,01,1,11,006,07,1,057,01, , , ,40,48
05,2008,01,1,11,006,08,1,058,01,2,2,8,55,55
05,2008,01,1,11,006,09,1,059,01,2,2,8,55,60
05,2008,01,1,11,006,09,1,059,03,1,1,1,40,45
05,2008,01,1,11,006,09,1,059,04,2,2,8,12,12
05,2008,01,1,11,006,10,1,060,01,2,2,2,54,54
05,2008,01,1,11,007,01,1,061,01,2,2,8,35,40
05,2008,01,1,11,007,04,1,064,01, , , ,40,40
05,2008,01,1,11,007,05,1,065,01,1,1,4,48,48
05,2008,01,1,11,007,07,1,067,01,2,2,8,15,20
05,2008,01,1,11,007,07,1,067,02, , , ,40,40
05,2008,01,1,11,007,08,1,068,02,1,1,6,46,46
05,2008,01,1,11,007,08,1,068,03, , , ,40,40
05,2008,01,1,11,007,08,1,068,04,1,1,4,49,49
05,2008,01,1,11,007,10,1,070,01,1,1,2,35,40
05,2008,01,1,11,008,01,1,071,01,1,1,8,63,63
05,2008,01,1,11,008,01,1,071,03,1,1,8,63,63
05,2008,01,1,11,008,02,1,072,02,1,1,6,40,40
05,2008,01,1,11,008,04,1,074,03,1,1,4,56,60
05,2008,01,1,11,008,05,1,075,01,2,1,8,70,80
05,2008,01,1,11,008,07,1,077,01, , , ,40,40
05,2008,01,1,11,008,09,1,079,03,1,1,2,40,40
05,2008,01,1,11,008,09,1,079,08,1,1,4,40,40
05,2008,01,1,11,008,09,1,079,10,1,1,4,56,56
05,2008,01,1,11,009,01,1,081,01, , , ,48,48
05,2008,01,1,11,009,02,1,082,01,1,1,6,60,60
